Entity,Code,Year,Crude birth rate,Crude death rate
Australia,AUS,1855,39.7,18.9
Australia,AUS,1856,38.7,15
Australia,AUS,1857,42,16.4
Australia,AUS,1858,42.6,18.3
Australia,AUS,1859,42.9,17.4
Australia,AUS,1860,42.6,20.9
Australia,AUS,1861,42.3,17.3
Australia,AUS,1862,43.3,17.6
Australia,AUS,1863,41.7,17.3
Australia,AUS,1864,42.9,16.3
Australia,AUS,1865,42.1,16.6
Australia,AUS,1866,39.8,18.6
Australia,AUS,1867,40.4,18.3
Australia,AUS,1868,40.5,15.5
Australia,AUS,1869,38.6,14.7
Australia,AUS,1870,38.7,14.2
Australia,AUS,1871,38,13.2
Australia,AUS,1872,37.1,14.5
Australia,AUS,1873,37.4,14.7
Australia,AUS,1874,36.8,16.1
Australia,AUS,1875,35.9,19.7
Australia,AUS,1876,35.9,17.6
Australia,AUS,1877,35,15.9
Australia,AUS,1878,35.4,16.3
Australia,AUS,1879,35.8,14.7
Australia,AUS,1880,35.2,14.6
Australia,AUS,1881,35.3,14.7
Australia,AUS,1882,34.5,16
Australia,AUS,1883,34.8,15.3
Australia,AUS,1884,35.6,16.5
Australia,AUS,1885,35.7,16
Australia,AUS,1886,35.4,15.4
Australia,AUS,1887,35.6,14.6
Australia,AUS,1888,35.5,14.6
Australia,AUS,1889,34.7,15.4
Australia,AUS,1890,35,14.3
Australia,AUS,1891,34.5,14.8
Australia,AUS,1892,33.7,12.9
Australia,AUS,1893,32.8,13.7
Australia,AUS,1894,30.8,12.7
Australia,AUS,1895,30.4,12.5
Australia,AUS,1896,28.4,12.8
Australia,AUS,1897,28.2,12.1
Australia,AUS,1898,27.1,14.1
Australia,AUS,1899,27.3,12.9
Australia,AUS,1900,26.7,11.7
Australia,AUS,1901,27.2,12.2
Australia,AUS,1902,26.7,12.5
Australia,AUS,1903,25.3,12.2
Australia,AUS,1904,26.4,11.1
Australia,AUS,1905,26.2,10.9
Australia,AUS,1906,26.6,10.9
Australia,AUS,1907,26.8,11
Australia,AUS,1908,26.6,11.1
Australia,AUS,1909,26.7,10.3
Australia,AUS,1910,26.7,10.4
Australia,AUS,1911,27.2,10.7
Australia,AUS,1912,28.7,11.2
Australia,AUS,1913,28.3,10.8
Australia,AUS,1914,28.1,10.5
Australia,AUS,1915,27.1,10.6
Australia,AUS,1916,26.6,11
Australia,AUS,1917,26.3,9.7
Australia,AUS,1918,25,10
Australia,AUS,1919,23.5,12.7
Australia,AUS,1920,25.5,10.5
Australia,AUS,1921,25,9.9
Australia,AUS,1922,24.7,9.2
Australia,AUS,1923,23.8,9.9
Australia,AUS,1924,23.2,9.5
Australia,AUS,1925,22.9,9.2
Australia,AUS,1926,22,9.4
Australia,AUS,1927,21.7,9.5
Australia,AUS,1928,21.3,9.5
Australia,AUS,1929,20.3,9.6
Australia,AUS,1930,19.9,8.6
Australia,AUS,1931,18.2,8.7
Australia,AUS,1932,16.9,8.6
Australia,AUS,1933,16.8,8.9
Australia,AUS,1934,16.4,9.3
Australia,AUS,1935,16.6,9.5
Australia,AUS,1936,17.1,9.4
Australia,AUS,1937,17.4,9.4
Australia,AUS,1938,17.5,9.6
Australia,AUS,1939,17.6,9.9
Australia,AUS,1940,17.9,9.8
Australia,AUS,1941,18.9,10.6
Australia,AUS,1942,19,12
Australia,AUS,1943,20.6,11.5
Australia,AUS,1944,21,10.3
Australia,AUS,1945,21.7,10.3
Australia,AUS,1946,23.6,10.1
Australia,AUS,1947,24.1,9.7
Australia,AUS,1948,23.1,10
Australia,AUS,1949,22.9,9.5
Australia,AUS,1950,23.3,9.6
Australia,AUS,1951,23,9.7
Australia,AUS,1952,23.3,9.4
Australia,AUS,1953,22.9,9.1
Australia,AUS,1954,22.5,9.1
Australia,AUS,1955,22.6,8.9
Australia,AUS,1956,22.5,9.1
Australia,AUS,1957,22.9,8.8
Australia,AUS,1958,22.6,8.5
Australia,AUS,1959,22.6,8.9
Australia,AUS,1960,22.4,8.6
Australia,AUS,1961,22.8,8.5
Australia,AUS,1962,22.2,8.7
Australia,AUS,1963,21.6,8.7
Australia,AUS,1964,20.6,9
Australia,AUS,1965,19.6,8.8
Australia,AUS,1966,19.2,9
Australia,AUS,1967,19.4,8.7
Australia,AUS,1968,20.1,9.1
Australia,AUS,1969,20.4,8.7
Australia,AUS,1970,20.6,9
Australia,AUS,1971,21.1,8.6
Australia,AUS,1972,19.9,8.3
Australia,AUS,1973,18.3,8.3
Australia,AUS,1974,17.9,8.5
Australia,AUS,1975,16.8,7.9
Australia,AUS,1976,16.2,8
Australia,AUS,1977,15.9,7.7
Australia,AUS,1978,15.6,7.5
Australia,AUS,1979,15.4,7.3
Australia,AUS,1980,15.3,7.4
Australia,AUS,1981,15.8,7.3
Australia,AUS,1982,15.8,7.6
Australia,AUS,1983,15.8,7.2
Australia,AUS,1984,15,7.1
Australia,AUS,1985,15.7,7.5
Australia,AUS,1986,15.2,7.2
Australia,AUS,1987,15,7.2
Australia,AUS,1988,14.9,7.3
Australia,AUS,1989,14.9,7.4
Australia,AUS,1990,15.4,7
Australia,AUS,1991,14.9,6.9
Australia,AUS,1992,15.1,7.1
Australia,AUS,1993,14.7,6.9
Australia,AUS,1994,14.5,7.1
Australia,AUS,1995,14.2,6.9
Australia,AUS,1996,13.9,7
Australia,AUS,1997,13.5,6.9
Australia,AUS,1998,13.3,6.8
Australia,AUS,1999,13.1,6.8
Australia,AUS,2000,13,6.7
Australia,AUS,2001,12.7,6.6
Australia,AUS,2002,12.8,6.8
Australia,AUS,2003,12.6,6.7
Australia,AUS,2004,12.63185843,6.583475441
Australia,AUS,2005,12.73810553,6.409185561
Australia,AUS,2006,12.84909372,6.461483012
Australia,AUS,2007,13.53487482,6.541905992
Australia,AUS,2008,13.79726251,6.69561747
Australia,AUS,2009,13.47003196,6.411221076
Austria,AUT,1820,43,26.6
Austria,AUT,1821,41.4,25.7
Austria,AUT,1822,38.5,27.2
Austria,AUT,1823,39.6,28.8
Austria,AUT,1824,40.1,26.4
Austria,AUT,1825,40.3,26.9
Austria,AUT,1826,39.6,27.7
Austria,AUT,1827,38.6,28.9
Austria,AUT,1828,37.6,32.7
Austria,AUT,1829,36.1,31.4
Austria,AUT,1830,38,30.3
Austria,AUT,1831,35.6,42.2
Austria,AUT,1832,36.6,35.6
Austria,AUT,1833,40.4,31.8
Austria,AUT,1834,39.3,30.9
Austria,AUT,1835,38.5,30.2
Austria,AUT,1836,37.8,33.1
Austria,AUT,1837,39.7,33.2
Austria,AUT,1838,37.9,28.3
Austria,AUT,1839,38,30
Austria,AUT,1840,38.6,30.4
Austria,AUT,1841,38.3,29.5
Austria,AUT,1842,41.2,30.8
Austria,AUT,1843,39.3,31.4
Austria,AUT,1844,39.7,28.9
Austria,AUT,1845,39.5,29.7
Austria,AUT,1846,37,28.9
Austria,AUT,1847,36,44.4
Austria,AUT,1848,32.7,41.3
Austria,AUT,1849,40,35
Austria,AUT,1850,39.6,32.9
Austria,AUT,1851,39.2,29.8
Austria,AUT,1852,37.5,30.9
Austria,AUT,1853,37.2,31.9
Austria,AUT,1854,36.3,34.5
Austria,AUT,1855,32.2,43.9
Austria,AUT,1856,35.6,30.2
Austria,AUT,1857,39.4,28.2
Austria,AUT,1858,39.8,29.1
Austria,AUT,1859,40.7,29.2
Austria,AUT,1860,38.2,26.8
Austria,AUT,1861,37.4,29.8
Austria,AUT,1862,38.1,29.5
Austria,AUT,1863,40.6,29.9
Austria,AUT,1864,40.6,30.1
Austria,AUT,1865,38,30.5
Austria,AUT,1866,37.9,40.8
Austria,AUT,1867,36.8,29.4
Austria,AUT,1868,38.1,28.7
Austria,AUT,1869,39.6,29
Austria,AUT,1870,39.8,29.4
Austria,AUT,1871,38.7,29.8
Austria,AUT,1872,38.9,32.6
Austria,AUT,1873,39.6,38.9
Austria,AUT,1874,39.6,31.7
Austria,AUT,1875,39.8,30
Austria,AUT,1876,40,29.8
Austria,AUT,1877,38.5,31.5
Austria,AUT,1878,38.4,31.6
Austria,AUT,1879,39.1,29.9
Austria,AUT,1880,37.5,29.7
Austria,AUT,1881,37.5,30.5
Austria,AUT,1882,39,30.8
Austria,AUT,1883,38.1,30.1
Austria,AUT,1884,38.6,29.3
Austria,AUT,1885,37.5,30.1
Austria,AUT,1886,37.9,29.4
Austria,AUT,1887,38.2,28.9
Austria,AUT,1888,37.8,29.2
Austria,AUT,1889,37.8,27.3
Austria,AUT,1890,36.2,29.1
Austria,AUT,1891,38.2,28
Austria,AUT,1892,36,28.8
Austria,AUT,1893,37.9,27.1
Austria,AUT,1894,36.6,27.8
Austria,AUT,1895,37.9,27.5
Austria,AUT,1896,37.8,26.2
Austria,AUT,1897,37.2,25.5
Austria,AUT,1898,36,24.8
Austria,AUT,1899,36.8,25.2
Austria,AUT,1900,35,25.2
Austria,AUT,1901,36.6,24
Austria,AUT,1902,37,24.7
Austria,AUT,1903,35.2,23.8
Austria,AUT,1904,35.6,23.8
Austria,AUT,1905,33.8,25.1
Austria,AUT,1906,35,22.6
Austria,AUT,1907,34,22.7
Austria,AUT,1908,33.7,22.5
Austria,AUT,1909,33.4,22.9
Austria,AUT,1910,32.5,21.2
Austria,AUT,1911,31.3,21.9
Austria,AUT,1912,31.3,20.5
Austria,AUT,1913,29.7,20.3
Austria,AUT,1918,14.1,26.4
Austria,AUT,1919,18.5,20.4
Austria,AUT,1920,22.7,19
Austria,AUT,1921,23.2,17
Austria,AUT,1922,23.1,17.4
Austria,AUT,1923,22.5,15.3
Austria,AUT,1924,21.7,15
Austria,AUT,1925,20.6,14.4
Austria,AUT,1926,19.3,15
Austria,AUT,1927,17.9,15
Austria,AUT,1928,17.6,14.5
Austria,AUT,1929,16.8,14.6
Austria,AUT,1930,16.8,13.5
Austria,AUT,1931,15.9,14
Austria,AUT,1932,15.2,13.9
Austria,AUT,1933,14.3,13.2
Austria,AUT,1934,13.6,12.7
Austria,AUT,1935,13.1,13.7
Austria,AUT,1936,13.1,13.2
Austria,AUT,1937,12.8,13.3
Austria,AUT,1938,13.9,14
Austria,AUT,1939,20.7,15.3
Austria,AUT,1946,15.9,13.4
Austria,AUT,1947,18.5,12.9
Austria,AUT,1948,17.7,12.1
Austria,AUT,1949,16.3,12.8
Austria,AUT,1950,15.6,12.4
Austria,AUT,1951,14.8,12.7
Austria,AUT,1952,14.9,12
Austria,AUT,1953,14.8,12
Austria,AUT,1954,15,12.2
Austria,AUT,1955,15.6,12.2
Austria,AUT,1956,16.7,12.5
Austria,AUT,1957,17,12.8
Austria,AUT,1958,17.1,12.3
Austria,AUT,1959,17.7,12.5
Austria,AUT,1960,17.9,12.7
Austria,AUT,1961,18.6,12.1
Austria,AUT,1962,18.7,12.7
Austria,AUT,1963,18.8,12.8
Austria,AUT,1964,18.5,12.3
Austria,AUT,1965,17.9,13
Austria,AUT,1966,17.6,12.5
Austria,AUT,1967,17.4,13
Austria,AUT,1968,17,12.9
Austria,AUT,1969,16.3,13.3
Austria,AUT,1970,15,13.2
Austria,AUT,1971,14.5,13
Austria,AUT,1972,13.8,12.6
Austria,AUT,1973,12.9,12.2
Austria,AUT,1974,12.8,12.4
Austria,AUT,1975,12.4,12.7
Austria,AUT,1976,11.6,12.6
Austria,AUT,1977,11.3,12.2
Austria,AUT,1978,11.3,12.5
Austria,AUT,1979,11.4,12.2
Austria,AUT,1980,12,12.2
Austria,AUT,1981,12.4,12.3
Austria,AUT,1982,12.5,12.1
Austria,AUT,1983,11.9,12.3
Austria,AUT,1984,11.8,11.7
Austria,AUT,1985,11.6,11.9
Austria,AUT,1986,11.5,11.5
Austria,AUT,1987,11.4,11.2
Austria,AUT,1988,11.6,11
Austria,AUT,1989,11.7,10.9
Austria,AUT,1990,11.7,10.7
Austria,AUT,1991,12.1,10.7
Austria,AUT,1992,12.1,10.5
Austria,AUT,1993,11.9,10.3
Austria,AUT,1994,11,10.1
Austria,AUT,1995,11,10.1
Austria,AUT,1996,11,10
Austria,AUT,1997,10.4,9.8
Austria,AUT,1998,10.1,9.7
Austria,AUT,1999,9.8,9.8
Austria,AUT,2000,9.8,9.6
Austria,AUT,2001,9.4,9.3
Austria,AUT,2002,9.7,9.4
Austria,AUT,2003,9.5,9.5
Austria,AUT,2004,9.7,9.1
Austria,AUT,2005,9.5,9.1
Austria,AUT,2006,9.423619984,8.985905572
Austria,AUT,2007,9.185691187,8.989930555
Austria,AUT,2008,9.326641036,9.006484578
Austria,AUT,2009,9.126298896,9.250263739
Austria,AUT,2010,9.385476672,9.201562236000001
Barbados,BRB,1910,37.2,25.5
Barbados,BRB,1911,35.2,26.3
Barbados,BRB,1912,36.8,41
Barbados,BRB,1913,31.9,21.3
Barbados,BRB,1914,37.4,36.5
Barbados,BRB,1915,29.5,19.2
Barbados,BRB,1916,32.2,22.7
Barbados,BRB,1917,28.8,24.9
Barbados,BRB,1918,30.2,20.6
Barbados,BRB,1919,34.9,39.3
Barbados,BRB,1920,37.5,33.4
Barbados,BRB,1921,32.6,43.3
Barbados,BRB,1922,34.3,22.4
Barbados,BRB,1923,37.4,37.1
Barbados,BRB,1924,32.9,29.5
Barbados,BRB,1925,34.9,29.5
Barbados,BRB,1926,31.3,29.6
Barbados,BRB,1927,31.6,20.2
Barbados,BRB,1928,33.8,30.1
Barbados,BRB,1929,32,23.7
Barbados,BRB,1930,32.7,23.1
Barbados,BRB,1931,30.4,28.2
Barbados,BRB,1932,33.5,20.6
Barbados,BRB,1933,32.5,21.9
Barbados,BRB,1934,32.4,25.1
Barbados,BRB,1935,31.6,22
Barbados,BRB,1936,34.8,20.3
Barbados,BRB,1937,32.8,20.3
Barbados,BRB,1938,30.5,21.4
Barbados,BRB,1939,31.1,19.1
Barbados,BRB,1940,32.4,18.5
Barbados,BRB,1941,32.3,21.8
Barbados,BRB,1942,31,18.2
Barbados,BRB,1943,32.3,17.1
Barbados,BRB,1944,32.4,18.3
Barbados,BRB,1945,32.3,16.9
Barbados,BRB,1946,31.9,17
Barbados,BRB,1947,32.7,16.3
Barbados,BRB,1948,32.5,15.7
Barbados,BRB,1949,32,14.6
Barbados,BRB,1950,30.5,12.8
Barbados,BRB,1951,31.6,14
Barbados,BRB,1952,33.5,14.6
Barbados,BRB,1953,33,13.5
Barbados,BRB,1954,33.6,11.3
Barbados,BRB,1955,33.4,12.7
Barbados,BRB,1956,31.3,10.8
Barbados,BRB,1957,32.4,10.9
Barbados,BRB,1958,31.2,10.1
Barbados,BRB,1959,30.8,9
Barbados,BRB,1960,33.6,9.1
Barbados,BRB,1961,29,10.4
Barbados,BRB,1962,29.4,9
Barbados,BRB,1963,28.5,8.8
Barbados,BRB,1964,27,8.8
Barbados,BRB,1965,26.1,7.8
Barbados,BRB,1966,25.6,8.2
Barbados,BRB,1967,21.9,8.2
Barbados,BRB,1968,21.7,8.1
Barbados,BRB,1969,20.5,7.8
Barbados,BRB,1970,20.4,8.7
Barbados,BRB,1971,21.5,8.6
Barbados,BRB,1972,21.9,8.5
Barbados,BRB,1973,20.9,9.4
Barbados,BRB,1974,19.8,8.8
Barbados,BRB,1975,19.1,8.8
Barbados,BRB,1976,18.6,9.5
Barbados,BRB,1977,17.5,8.7
Barbados,BRB,1978,17.4,8.4
Barbados,BRB,1979,17.2,8.6
Barbados,BRB,1980,16.7,8.1
Barbados,BRB,1981,17.7,7.5
Barbados,BRB,1982,18,8
Barbados,BRB,1983,17.9,8.2
Barbados,BRB,1984,16.8,7.8
Barbados,BRB,1985,16.9,8.4
Barbados,BRB,1986,15.9,8.5
Barbados,BRB,1987,15.1,8.7
Barbados,BRB,1988,14.8,8.8
Barbados,BRB,1989,15.7,8.9
Barbados,BRB,1990,16.8,8.7
Barbados,BRB,1991,16.4,8.8
Barbados,BRB,1992,15.9,9.1
Barbados,BRB,1993,14.3,9.1
Barbados,BRB,1994,      ,8.7
Barbados,BRB,1995,13.1,9.4
Barbados,BRB,1996,13.3,9.1
Barbados,BRB,1997,      ,      
Barbados,BRB,1998,      ,      
Barbados,BRB,1999,      ,      
Barbados,BRB,2000,14,8.8
Barbados,BRB,2001,      ,6.3
Barbados,BRB,2002,      ,8.4
Barbados,BRB,2003,13.8,8.4
Barbados,BRB,2004,12.7,8.9
Barbados,BRB,2005,12.8,7.9
Barbados,BRB,2006,12.48591951,8.473894407
Barbados,BRB,2007,12.89948468,8.070839579
Belgium,BEL,1830,32.3,25.6
Belgium,BEL,1831,33,24
Belgium,BEL,1832,31.5,28
Belgium,BEL,1833,33.2,26.8
Belgium,BEL,1834,33.3,27.8
Belgium,BEL,1835,34,24
Belgium,BEL,1836,34,23.9
Belgium,BEL,1837,33.4,27.6
Belgium,BEL,1838,35.2,25.5
Belgium,BEL,1839,33.7,26.1
Belgium,BEL,1840,34.2,25
Belgium,BEL,1841,34,23.8
Belgium,BEL,1842,32.6,24.9
Belgium,BEL,1843,31.9,23.3
Belgium,BEL,1844,31.8,22.5
Belgium,BEL,1845,32.2,23
Belgium,BEL,1846,27.8,25.1
Belgium,BEL,1847,27.2,27.7
Belgium,BEL,1848,27.7,24
Belgium,BEL,1849,31,27.7
Belgium,BEL,1850,30,21.2
Belgium,BEL,1851,30.3,21.4
Belgium,BEL,1852,30,21.5
Belgium,BEL,1853,28.3,22.2
Belgium,BEL,1854,28.8,20.5
Belgium,BEL,1855,27.7,24.7
Belgium,BEL,1856,29.1,24.1
Belgium,BEL,1857,31.6,22.8
Belgium,BEL,1858,31.7,23.6
Belgium,BEL,1859,32.4,24.2
Belgium,BEL,1860,31,19.9
Belgium,BEL,1861,31.1,22.5
Belgium,BEL,1862,30.4,20.9
Belgium,BEL,1863,32.2,22.3
Belgium,BEL,1864,32.1,23.7
Belgium,BEL,1865,31.6,24.7
Belgium,BEL,1866,31.7,30.3
Belgium,BEL,1867,32.6,21.9
Belgium,BEL,1868,31.9,22
Belgium,BEL,1869,32,22.1
Belgium,BEL,1870,32.7,23.6
Belgium,BEL,1871,31.2,28.1
Belgium,BEL,1872,32.7,23.5
Belgium,BEL,1873,33,21.8
Belgium,BEL,1874,33.1,20.9
Belgium,BEL,1875,32.9,22.9
Belgium,BEL,1876,32.7,21.6
Belgium,BEL,1877,32.8,21.4
Belgium,BEL,1878,31.9,21.7
Belgium,BEL,1879,31.9,22.1
Belgium,BEL,1880,31,22.3
Belgium,BEL,1881,31.8,21.2
Belgium,BEL,1882,31.6,20.5
Belgium,BEL,1883,30.9,21.1
Belgium,BEL,1884,30.9,21.2
Belgium,BEL,1885,30.3,21.4
Belgium,BEL,1886,29.9,21.3
Belgium,BEL,1887,29.7,19.3
Belgium,BEL,1888,29.4,20.3
Belgium,BEL,1889,29.4,19.8
Belgium,BEL,1890,29,20.8
Belgium,BEL,1891,30,21.2
Belgium,BEL,1892,28.9,21.8
Belgium,BEL,1893,29.5,20.3
Belgium,BEL,1894,29,18.6
Belgium,BEL,1895,28.5,19.5
Belgium,BEL,1896,29,17.5
Belgium,BEL,1897,29,17.2
Belgium,BEL,1898,28.6,17.6
Belgium,BEL,1899,28.8,18.8
Belgium,BEL,1900,28.9,19.3
Belgium,BEL,1901,29.4,17.2
Belgium,BEL,1902,28.4,17.3
Belgium,BEL,1903,27.5,17
Belgium,BEL,1904,27.1,16.9
Belgium,BEL,1905,26.2,17.5
Belgium,BEL,1906,25.6,16
Belgium,BEL,1907,25.2,15.4
Belgium,BEL,1908,24.8,16.1
Belgium,BEL,1909,23.5,15.4
Belgium,BEL,1910,23.7,14.9
Belgium,BEL,1911,22.8,16
Belgium,BEL,1912,22.5,14.5
Belgium,BEL,1913,22.3,14.2
Belgium,BEL,1914,20.4,14.2
Belgium,BEL,1915,16.1,13.1
Belgium,BEL,1916,12.9,13.1
Belgium,BEL,1917,11.3,16.3
Belgium,BEL,1918,11.3,20.8
Belgium,BEL,1919,16.9,14.9
Belgium,BEL,1920,22.2,13.9
Belgium,BEL,1921,21.7,13.4
Belgium,BEL,1922,20.4,13.9
Belgium,BEL,1923,20.3,12.9
Belgium,BEL,1924,19.8,12.7
Belgium,BEL,1925,19.6,12.8
Belgium,BEL,1926,18.9,12.8
Belgium,BEL,1927,18.2,13
Belgium,BEL,1928,18.2,12.8
Belgium,BEL,1929,18.1,14.4
Belgium,BEL,1930,18.6,12.8
Belgium,BEL,1931,18.1,12.7
Belgium,BEL,1932,17.5,12.7
Belgium,BEL,1933,16.3,12.7
Belgium,BEL,1934,15.9,11.7
Belgium,BEL,1935,15.2,12.3
Belgium,BEL,1936,15.1,12.2
Belgium,BEL,1937,15,12.5
Belgium,BEL,1938,15.5,12.5
Belgium,BEL,1939,15,13.2
Belgium,BEL,1940,13.3,15.1
Belgium,BEL,1941,11.9,14.4
Belgium,BEL,1942,12.8,14.2
Belgium,BEL,1943,14.6,13.1
Belgium,BEL,1944,15,15.1
Belgium,BEL,1945,15.3,14.5
Belgium,BEL,1946,17.5,13.2
Belgium,BEL,1947,17,12.7
Belgium,BEL,1948,17.2,12
Belgium,BEL,1949,16.8,12.4
Belgium,BEL,1950,16.5,12
Belgium,BEL,1951,16.4,12.4
Belgium,BEL,1952,16.7,11.8
Belgium,BEL,1953,16.7,12.1
Belgium,BEL,1954,16.8,11.9
Belgium,BEL,1955,16.7,12.2
Belgium,BEL,1956,16.8,12.1
