link,title,full_title,status,error
https://observablehq.com/d/3219ba596e39def0,ARBES,ARBES / Yonsei University | Observable,ok,
https://drive.google.com/file/d/1ph_LRrz8A8gMdSFAnef5Vf6GdXxXqsTA/view?usp=share_link,chart.js - Google Drive,chart.js - Google Drive,ok,
https://observablehq.com/d/641fe2058221d34b,IA commentary July 2023,IA commentary July 2023 / Yonsei University | Observable,ok,
https://observablehq.com/@fyp4/malaysia-total-trade-with-world,Malaysia Total Trade with World,Malaysia Total Trade with World / fyp | Observable,ok,
https://observablehq.com/d/1a6221c15c98cf2c,International Merchandise Trade Malaysia and ASEAN,International Merchandise Trade Malaysia and ASEAN / fyp | Observable,ok,
https://observablehq.com/d/1b9b8c753e96b9fc,How Many Members of the US Military Have Died in Each War?,How Many Members of the US Military Have Died in Each War? / Prueba | Observable,ok,
https://observablehq.com/d/f792e00c5ceb4b87,"Percent of D.C. Workers Who Are Immigrants, by Occupation","Percent of D.C. Workers Who Are Immigrants, by Occupation / Prueba | Observable",ok,
https://observablehq.com/d/6e96a3d9f17cec90,Zillow Home Value Index,Zillow Home Value Index / Prueba | Observable,ok,
https://observablehq.com/d/0a4f80329c243889,Cotton,Cotton / Yonsei University | Observable,ok,
https://observablehq.com/@n93986/cannabis-exposure,cannabis exposure,cannabis exposure / n | Observable,ok,
https://observablehq.com/@n93986/health-data-bar-1,health data bar 1,health data bar 1 / n | Observable,ok,
https://observablehq.com/@n93986/data-health-bar-2,data health bar 2,data health bar 2 / n | Observable,ok,
https://observablehq.com/d/4c1fb232cc0eea23,Traffic-citations,Traffic-citations / Prueba | Observable,ok,
https://observablehq.com/d/3098f13198ef0232,Play space,Play space / Yonsei University | Observable,ok,
https://observablehq.com/d/6187ecada738db22,United States County-to-county Migration,United States County-to-county Migration / Yonsei University | Observable,ok,
https://observablehq.com/@n93986/uks-2019-annual-business-report,UK's 2019 Annual Business Report,UK's 2019 Annual Business Report / n | Observable,ok,
https://observablehq.com/@n93986/us-gdp,US GDP,US GDP / n | Observable,ok,
https://observablehq.com/@d3/zoomable-sunburst,Zoomable sunburst,Zoomable sunburst / D3 | Observable,ok,
https://observablehq.com/@fyp4/world-cup-2022-circle,World Cup 2022 Circle,World Cup 2022 Circle / fyp | Observable,ok,
https://observablehq.com/@n93986/chelsea-transfer-fee,Chelsea Transfer Fee,Chelsea Transfer Fee / n | Observable,ok,
https://observablehq.com/@n93986/premier-league-managers,Premier League Managers,Premier League Managers / n | Observable,ok,
https://observablehq.com/d/5de35404b35deed8,Indented tree,Indented tree / Prueba | Observable,ok,
https://observablehq.com/d/32528cae2454960c,Tidy Tree,Tidy Tree / Prueba | Observable,ok,
https://observablehq.com/d/c9165614abc3c34d,Radial Tidy Tree,Radial Tidy Tree / Prueba | Observable,ok,
https://observablehq.com/d/e70b572f85764265,All the Flights in the World,All the Flights in the World / Yonsei University | Observable,ok,
https://observablehq.com/d/38bdda2b7caf6e02,How Old Are Recent Newlyweds?,How Old Are Recent Newlyweds? / Prueba | Observable,ok,
https://observablehq.com/d/326e00c42fc73c5d,Percent Change in Marijuana Use 2011 to 2016 by State,Percent Change in Marijuana Use 2011 to 2016 by State / Prueba | Observable,ok,
https://observablehq.com/d/b787bc7974e1f0b2,Percent Change in Past Year Cocaine Use 2011 -2016 by state,Percent Change in Past Year Cocaine Use 2011 -2016 by state / Prueba | Observable,ok,
https://observablehq.com/d/d8d343511c03acf7,Percent Change in Past Month Alcohol Use between 2011 and 2016 by State,Percent Change in Past Month Alcohol Use between 2011 and 2016 by State / Prueba | Observable,ok,
https://observablehq.com/d/2abe767da206ed2b,Persistent poverty and high poverty U.S. counties,Persistent poverty and high poverty U.S. counties / Prueba | Observable,ok,
https://observablehq.com/d/ad06c98b232deab5,Geography of Educational Attainment in California,Geography of Educational Attainment in California / Prueba | Observable,ok,
https://observablehq.com/d/6d1c43df3a1de518,Energy Consumption Animated,Energy Consumption Animated / Prueba | Observable,ok,
https://observablehq.com/d/6c81fc440235fdb4,Dublin Stats,Dublin Stats / Prueba | Observable,ok,
https://observablehq.com/d/ad1587cfc205c2f2,EHS - Public,EHS - Public / Prueba | Observable,ok,
https://observablehq.com/d/53df2cdea7e88924,Global cotton supply and use,Global cotton supply and use / Prueba | Observable,ok,
https://observablehq.com/d/11cf572dd1b14ff7,Homicide Rates,Homicide Rates / Prueba | Observable,ok,
https://observablehq.com/@fyp4/olympic-games-medals-over-time,Olympic Games Medals over Time,Olympic Games Medals over Time / fyp | Observable,ok,
https://observablehq.com/@fyp4/late-night-snacking,Late-night Snacking,Late-night Snacking / fyp | Observable,ok,
https://observablehq.com/d/939918b55e6a5108,Untitled,Untitled / Data FYP | Observable,ok,
https://observablehq.com/d/64887ee832929930,Mobile Money Accounts,Mobile Money Accounts / Data FYP | Observable,ok,
https://observablehq.com/d/6760acab97435487,Internet,Internet / Data FYP | Observable,ok,
https://observablehq.com/d/fdbb3d8a0cd4bd58,Medicine,Medicine / Data FYP | Observable,ok,
https://observablehq.com/d/1edfdbd0a0cf213a,UCR Violent Crime,UCR Violent Crime / Prueba | Observable,ok,
https://observablehq.com/d/598fb95f4893d856,Stroke statistics - leading cause of death,Stroke statistics - leading cause of death / Prueba | Observable,ok,
https://observablehq.com/d/fcadcfb0a70486b7,Landline Internet Subscription,Landline Internet Subscription / Data FYP | Observable,ok,
https://observablehq.com/d/c796dd26baa3c4f8,4G network,4G network / Data FYP | Observable,ok,
https://observablehq.com/d/dd366878162d0d28,Who owns a phone,Who owns a phone / Data FYP | Observable,ok,
https://observablehq.com/d/d9ad549baa56a3a7,Death rate,Death rate / Data FYP | Observable,ok,
https://observablehq.com/d/4c5f0483c5ac2bba,Countries where armed conflict happened in 2024,Countries where armed conflict happened in 2024 / Data FYP | Observable,ok,
https://observablehq.com/d/8ffd349e8704e11c,Interstate and Intrastate war 2010,Interstate and Intrastate war 2010 / Data FYP | Observable,ok,
https://observablehq.com/d/65c10cfa93cada0a,Deaths from one-sided violence,Deaths from one-sided violence / Data FYP | Observable,ok,
https://observablehq.com/d/a2975a8c512f9051,Deaths in interstate conflict 2024,Deaths in interstate conflict 2024 / Data FYP | Observable,ok,
https://observablehq.com/d/53d7741e44dea574,Intrastate conflict 2024,Intrastate conflict 2024 / Data FYP | Observable,ok,
https://observablehq.com/@n93986/forms-of-homelessness-included-in-available-statis,"Forms of homelessness included in available statistics, 2024","Forms of homelessness included in available statistics, 2024 / n | Observable",ok,
https://observablehq.com/@n93986/profit-margin,Profit Margin,Profit Margin / n | Observable,ok,
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,Share price hits new high amid record trading volume,Share price hits new high amid record trading volume / n | Observable,ok,
https://observablehq.com/@n93986/marketing-spend-by-channel,Marketing spend by channel,Marketing spend by channel / n | Observable,ok,
https://observablehq.com/@n93986/social-media-influence-on-mental-health,Social media influence on mental health,Social media influence on mental health / n | Observable,ok,
https://observablehq.com/@n93986/olympic-games-medals-by-country-region,Olympic games medals by country/region,Olympic games medals by country/region / n | Observable,ok,
https://observablehq.com/@n93986/the-pursuit-of-happiness,The pursuit of happiness,The pursuit of happiness / n | Observable,ok,
https://observablehq.com/@yonsei-university/which-regions-walk-the-least,Which regions walk the least?,Which regions walk the least? / Yonsei University | Observable,ok,
https://observablehq.com/d/6cdd365acbb8c4c3,Deaths in non-state conflicts 2024,Deaths in non-state conflicts 2024 / Data FYP | Observable,ok,
https://observablehq.com/d/a7f11c936e3895fb,Internally displaced people due to conflict,Internally displaced people due to conflict / Data FYP | Observable,ok,
https://observablehq.com/d/08a3126ef4627c80,Relative increase in mean height,Relative increase in mean height / Data FYP | Observable,ok,
https://observablehq.com/d/90b85d6c1bb838c5,Lifetime anxiety or depression,Lifetime anxiety or depression / Data FYP | Observable,ok,
https://observablehq.com/d/780072d35cb6100d,Untitled,Untitled / Data FYP | Observable,ok,
https://observablehq.com/d/456e2c8beae6ca2a,Finland Tech Job Market Top Skill Demand Tracker 2024-2026,Finland Tech Job Market Top Skill Demand Tracker 2024-2026 / fyp | Observable,ok,
https://observablehq.com/d/01c45e5b545d634b,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025 / fyp | Observable,ok,
https://observablehq.com/d/d5d39f0d9ccdf508,"Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025","Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025 / fyp | Observable",ok,
A
