Entity,Code,Day,2021,2020,"Projected, 2020",2015,2016,2017,2018,2019,2022,2023
Armenia,ARM,2020-10-31,3462,3632,1973.5,2101,2233,2142,2086,2014,1982,2045
Armenia,ARM,2020-11-30,4577,6060,2175.1,2349,2476,2263,2317,2179,2055,2032
Armenia,ARM,2020-12-31,3001,4395,2316.9,2485,2993,2304,2107,2404,2169,2121
Aruba,ABW,2020-01-31,68,69,57.7,51,64,66,70,49,,
Aruba,ABW,2020-02-29,87,56,57.5,55,64,62,63,55,,
Aruba,ABW,2020-03-31,80,74,57.9,57,70,50,60,64,,
Aruba,ABW,2020-04-30,95,60,59.3,63,71,58,66,50,,
Aruba,ABW,2020-05-31,69,47,62.1,62,80,63,62,55,,
Aruba,ABW,2020-06-30,45,60,51.9,47,62,61,49,52,,
Aruba,ABW,2020-07-31,70,47,54.5,42,63,58,65,56,,
Aruba,ABW,2020-08-31,120,63,55.3,55,62,63,55,53,,
Aruba,ABW,2020-09-30,92,82,51.3,53,50,63,46,56,,
Aruba,ABW,2020-10-31,93,71,55.3,48,64,56,57,63,,
Aruba,ABW,2020-11-30,78,57,58.7,68,61,56,68,52,,
Aruba,ABW,2020-12-31,67,57,60.7,78,70,51,56,60,,
Australia,AUS,2020-01-05,3033,2930,2969.5,2926,2799,2895,2819,2969,3336,3497
Australia,AUS,2020-01-12,2953,2903,2962.7,2772,2879,2897,2828,2997,3742,3286
Australia,AUS,2020-01-19,3150,2915,2932.7,2771,2841,2806,2764,3041,3895,3331
Australia,AUS,2020-01-26,2946,3010,2923.1,2768,2678,2887,2884,2958,3790,3227
Australia,AUS,2020-02-02,3073,2911,2893.1,2680,2825,2744,2885,2890,3751,3372
Australia,AUS,2020-02-09,2967,2918,2929.9,2880,2736,2911,2724,2959,3572,3213
Australia,AUS,2020-02-16,2939,3032,2914.1,2749,2747,2849,2825,2960,3423,3302
Australia,AUS,2020-02-23,3052,3059,2972.9,2741,2773,2958,2857,3095,3415,3245
Australia,AUS,2020-03-01,3072,3091,2948.3,2788,2738,2909,2859,3008,3387,3304
Australia,AUS,2020-03-08,3121,2999,2986.7,2846,2822,3018,2882,2926,3217,3382
Australia,AUS,2020-03-15,3090,2977,2924.3,2738,2769,2785,2879,3010,3357,3416
Australia,AUS,2020-03-22,3043,3097,2959.9,2830,2853,2885,2871,2921,3359,3326
Australia,AUS,2020-03-29,3093,3144,2976.7,2812,2829,2858,2939,3005,3421,3304
Australia,AUS,2020-04-05,2960,3219,2994.1,2849,2946,2989,2785,2963,3456,3283
Australia,AUS,2020-04-12,3260,3140,3039.5,2963,2934,2966,2828,3066,3383,3481
Australia,AUS,2020-04-19,3248,3085,3043.3,2877,2872,3012,2965,3051,3488,3540
Australia,AUS,2020-04-26,3277,3047,3034.1,2997,2866,3011,2840,3016,3503,3506
Australia,AUS,2020-05-03,3371,3031,3067.9,3042,2854,2963,3021,3020,3684,3534
Australia,AUS,2020-05-10,3372,3162,3187.9,3082,2958,3108,3148,3203,3801,3782
Australia,AUS,2020-05-17,3364,3154,3186.5,3074,2975,3091,3133,3219,3664,3810
Australia,AUS,2020-05-24,3518,3217,3262.3,2990,3170,3173,3253,3285,3786,3837
Australia,AUS,2020-05-31,3384,3178,3279.3,3033,3164,3203,3199,3357,3929,3940
Australia,AUS,2020-06-07,3568,3114,3349.3,3112,3273,3263,3301,3357,4050,3723
Australia,AUS,2020-06-14,3495,3130,3297.3,3139,3051,3266,3129,3460,4146,3634
Australia,AUS,2020-06-21,3459,3066,3326.7,3092,3200,3232,3254,3416,4012,3861
Australia,AUS,2020-06-28,3469,3058,3380.1,3157,3253,3313,3310,3427,3920,3762
Australia,AUS,2020-07-05,3547,3221,3457.7,3222,3331,3468,3376,3451,4128,3835
Australia,AUS,2020-07-12,3602,3202,3439.9,3356,3334,3504,3214,3350,4132,3724
Australia,AUS,2020-07-19,3627,3206,3526.3,3347,3310,3700,3376,3458,4160,3745
Australia,AUS,2020-07-26,3671,3335,3546.7,3362,3339,3634,3467,3491,4171,3755
Australia,AUS,2020-08-02,3479,3355,3502.7,3399,3298,3749,3287,3340,4221,3655
Australia,AUS,2020-08-09,3445,3400,3524.1,3400,3362,3734,3209,3476,4134,3647
Australia,AUS,2020-08-16,3510,3479,3572.7,3468,3462,3674,3375,3444,3949,3702
Australia,AUS,2020-08-23,3424,3312,3594.7,3532,3455,3670,3354,3524,3897,3548
Australia,AUS,2020-08-30,3498,3288,3603.7,3359,3484,3844,3450,3443,3744,3524
Australia,AUS,2020-09-06,3421,3295,3537.7,3478,3336,3620,3313,3500,3790,3476
Australia,AUS,2020-09-13,3496,3239,3453.1,3359,3291,3697,3111,3367,3709,3563
Australia,AUS,2020-09-20,3370,3103,3402.3,3310,3172,3603,3151,3334,3690,3382
Australia,AUS,2020-09-27,3535,3146,3281.1,3152,3232,3338,3143,3100,3426,3467
Australia,AUS,2020-10-04,3411,3190,3283.1,3110,3198,3283,3137,3247,3514,3367
Australia,AUS,2020-10-11,3362,3045,3236.5,3069,3172,3184,3155,3162,3478,3546
Australia,AUS,2020-10-18,3363,3007,3181.5,2991,3161,3075,3091,3149,3553,3335
Australia,AUS,2020-10-25,3342,2968,3117.1,2916,3124,2972,2983,3150,3329,3339
Australia,AUS,2020-11-01,3314,3038,3108.3,2899,3073,3014,3032,3082,3398,3463
Australia,AUS,2020-11-08,3192,3034,3059.3,2891,3123,2873,3001,2971,3513,3534
Australia,AUS,2020-11-15,3342,3138,3011.7,2775,2959,2947,2903,3034,3466,3542
Australia,AUS,2020-11-22,3266,3045,3041.9,2878,3024,2896,2991,2980,3513,3410
Australia,AUS,2020-11-29,3265,2960,3006.1,2866,2895,2882,2959,2988,3452,3470
Australia,AUS,2020-12-06,3198,3113,2970.5,2815,2753,2921,2965,2957,3611,3440
Australia,AUS,2020-12-13,3279,3008,3039.5,2887,2909,2976,2990,2995,3572,3395
Australia,AUS,2020-12-20,3392,3049,2996.9,2811,2933,2914,2935,2950,3610,3439
Australia,AUS,2020-12-27,3235,3069,2938.5,2730,2920,2775,2945,2882,3456,3368
Australia,AUS,2021-01-03,,2995,2938.5,,,,,,,
Austria,AUT,2020-01-05,1953,1607,1828.2,1704,1634,2293,1767,1647,1756,2355
Austria,AUT,2020-01-12,1954,1691,1876.2,1768,1626,2340,1842,1709,1679,2115
Austria,AUT,2020-01-19,2003,1791,1805.6,1837,1608,2060,1786,1641,1816,1838
Austria,AUT,2020-01-26,1940,1773,1766.2,1792,1578,1938,1714,1713,1766,1772
Austria,AUT,2020-02-02,1860,1941,1837.8,1837,1609,2045,1870,1732,1792,1766
Austria,AUT,2020-02-09,1743,1675,1856,1926,1650,1874,1938,1796,1858,1673
Austria,AUT,2020-02-16,1715,1714,1832,1992,1621,1750,1881,1820,1916,1765
Austria,AUT,2020-02-23,1661,1718,1841.2,2020,1581,1807,1951,1751,1847,1858
Austria,AUT,2020-03-01,1579,1761,1834.8,1883,1714,1696,2021,1764,1957,1846
Austria,AUT,2020-03-08,1747,1734,1772.8,1846,1532,1614,1965,1811,1848,1843
Austria,AUT,2020-03-15,1691,1714,1730.6,1763,1516,1542,1946,1790,1918,1808
Austria,AUT,2020-03-22,1649,1828,1617.2,1696,1499,1535,1641,1619,2000,1750
Austria,AUT,2020-03-29,1769,1756,1665,1725,1598,1489,1766,1651,1953,1690
Austria,AUT,2020-04-05,1662,1821,1604.6,1604,1562,1537,1617,1607,1964,1686
Austria,AUT,2020-04-12,1694,1794,1565.4,1563,1520,1532,1560,1556,1813,1670
Austria,AUT,2020-04-19,1689,1691,1542.6,1614,1413,1475,1557,1558,1655,1726
Austria,AUT,2020-04-26,1691,1580,1489.4,1547,1460,1440,1383,1521,1687,1638
Austria,AUT,2020-05-03,1657,1472,1483.8,1453,1447,1527,1434,1462,1650,1586
Austria,AUT,2020-05-10,1601,1516,1458.6,1452,1486,1434,1372,1453,1574,1612
Austria,AUT,2020-05-17,1520,1480,1482.2,1461,1453,1501,1342,1558,1601,1524
Austria,AUT,2020-05-24,1486,1477,1440.8,1396,1505,1327,1383,1497,1531,1534
Austria,AUT,2020-05-31,1602,1410,1433.6,1304,1402,1456,1415,1495,1578,1521
Austria,AUT,2020-06-07,1557,1483,1431.6,1437,1360,1312,1433,1520,1589,1476
Austria,AUT,2020-06-14,1598,1457,1462.6,1502,1348,1421,1392,1554,1629,1526
Austria,AUT,2020-06-21,1652,1406,1426.8,1285,1452,1476,1401,1424,1652,1571
Austria,AUT,2020-06-28,1504,1433,1419,1374,1338,1419,1414,1454,1655,1400
Austria,AUT,2020-07-05,1469,1554,1454.4,1487,1328,1413,1441,1507,1597,1512
Austria,AUT,2020-07-12,1454,1378,1396.6,1476,1323,1346,1404,1338,1561,1536
Austria,AUT,2020-07-19,1574,1439,1489,1475,1458,1475,1511,1430,1847,1532
Austria,AUT,2020-07-26,1530,1445,1508,1633,1424,1375,1455,1557,1732,1446
Austria,AUT,2020-08-02,1455,1522,1524,1446,1390,1616,1615,1457,1661,1423
Austria,AUT,2020-08-09,1621,1427,1445.4,1500,1359,1334,1532,1406,1560,1538
Austria,AUT,2020-08-16,1621,1603,1479.8,1692,1394,1380,1430,1407,1685,1542
Austria,AUT,2020-08-23,1567,1467,1453,1376,1408,1472,1460,1453,1550,1603
Austria,AUT,2020-08-30,1542,1488,1446,1476,1414,1329,1414,1501,1454,1407
Austria,AUT,2020-09-06,1627,1518,1396.4,1389,1380,1318,1376,1423,1544,1521
Austria,AUT,2020-09-13,1580,1562,1444,1447,1392,1426,1452,1407,1589,1580
Austria,AUT,2020-09-20,1577,1560,1442.2,1459,1376,1407,1421,1452,1652,1497
Austria,AUT,2020-09-27,1675,1531,1490.8,1410,1442,1496,1436,1574,1727,1493
Austria,AUT,2020-10-04,1600,1573,1529.6,1494,1469,1481,1553,1555,1870,1563
Austria,AUT,2020-10-11,1632,1620,1538.2,1409,1556,1529,1509,1592,1764,1622
Austria,AUT,2020-10-18,1721,1612,1524.4,1481,1607,1453,1488,1497,1766,1649
Austria,AUT,2020-10-25,1887,1772,1528.2,1498,1522,1489,1491,1545,1829,1753
Austria,AUT,2020-11-01,1943,1886,1532.2,1433,1484,1551,1561,1536,1718,1722
Austria,AUT,2020-11-08,2052,2004,1528.6,1460,1541,1490,1501,1555,1733,1749
Austria,AUT,2020-11-15,2111,2283,1571.6,1527,1616,1505,1556,1558,1780,1806
Austria,AUT,2020-11-22,2152,2401,1557.2,1486,1550,1570,1531,1553,1744,1814
Austria,AUT,2020-11-29,2201,2428,1565.4,1488,1601,1531,1525,1586,1872,1969
Austria,AUT,2020-12-06,2120,2544,1622.2,1509,1619,1632,1656,1599,1901,1869
Austria,AUT,2020-12-13,1930,2478,1626,1517,1670,1554,1626,1667,2175,1963
Austria,AUT,2020-12-20,1856,2255,1672.8,1538,1847,1653,1639,1591,2284,2064
Austria,AUT,2020-12-27,1864,2123,1754.4,1545,2160,1646,1689,1636,2298,1946
Austria,AUT,2021-01-03,,2000,1754.4,,,,,,,
Azerbaijan,AZE,2020-01-31,7972,5177,5451.4,5000,4953,6085,5284,5423,6009,5810
Azerbaijan,AZE,2020-02-29,5366,5039,4981.4,4400,4978,4985,5216,4816,6548,5381
Azerbaijan,AZE,2020-03-31,5676,5792,4706.8,4200,4566,4790,4903,4563,6166,5481
Azerbaijan,AZE,2020-04-30,7400,4511,5298.4,5600,5229,4824,5003,5324,5025,4533
Azerbaijan,AZE,2020-05-31,5435,4294,4813.2,4600,4574,4954,4871,4555,4350,4945
Azerbaijan,AZE,2020-06-30,5198,6203,4261.2,4300,4135,3839,4015,4505,4491,4015
Azerbaijan,AZE,2020-07-31,5087,6410,5004.8,4700,4586,4804,5520,4902,4594,4977
Azerbaijan,AZE,2020-08-31,6499,5049,4669.8,4400,4761,4723,4684,4269,4575,5330
Azerbaijan,AZE,2020-09-30,7540,4520,4172.6,3800,4221,4085,4144,4101,4614,4544
Azerbaijan,AZE,2020-10-31,5978,5774,4614.8,4500,4524,4606,4546,4386,4085,5024
Azerbaijan,AZE,2020-11-30,7610,8378,4726.2,4500,5056,4623,4547,4393,5224,4754
Azerbaijan,AZE,2020-12-31,7117,14500,4959,4700,5065,4791,4517,5210,5129,5356
Bahamas,BHS,2020-01-31,234,249,245,199,196,225,250,226,,
Bahamas,BHS,2020-02-29,219,214,237.8,209,216,203,209,223,,
Bahamas,BHS,2020-03-31,239,222,235,196,201,213,236,200,,
Bahamas,BHS,2020-04-30,235,218,213.4,178,191,177,211,181,,
Bahamas,BHS,2020-05-31,234,197,224,196,183,208,195,209,,
Bahamas,BHS,2020-06-30,233,200,218.4,174,196,182,218,193,,
Bahamas,BHS,2020-07-31,335,263,235.8,195,201,188,238,228,,
Bahamas,BHS,2020-08-31,525,327,236.4,192,194,216,225,226,,
Bahamas,BHS,2020-09-30,488,312,228,178,171,187,193,282,,
Bahamas,BHS,2020-10-31,397,318,218.6,189,192,205,178,200,,
Bahamas,BHS,2020-11-30,240,259,222,175,181,211,201,213,,
Bahamas,BHS,2020-12-31,270,237,230,175,168,217,203,258,,
Barbados,BRB,2020-01-31,173,255,284.4,336,216,310,222,263,297,310
Barbados,BRB,2020-02-29,220,224,230.4,187,208,206,232,244,285,288
Barbados,BRB,2020-03-31,322,244,224.6,224,164,236,218,206,422,279
Barbados,BRB,2020-04-30,189,183,222.2,202,242,197,143,252,293,206
Barbados,BRB,2020-05-31,221,245,255.6,185,239,192,296,291,275,333
Barbados,BRB,2020-06-30,246,238,217.6,183,217,212,193,208,287,307
Barbados,BRB,2020-07-31,143,229,228.6,210,187,205,221,245,178,231
Barbados,BRB,2020-08-31,248,233,213,175,205,194,201,215,295,306
Barbados,BRB,2020-09-30,236,187,239,248,219,214,188,251,255,272
Barbados,BRB,2020-10-31,279,225,249,221,238,252,239,220,277,
Barbados,BRB,2020-11-30,298,209,235,177,242,224,191,266,238,
Barbados,BRB,2020-12-31,320,241,223.2,222,207,190,187,235,252,
Belarus,BLR,2020-01-31,15788,10725,11507.1,11366,11322,11978,10659,11904,14344,11240
Belarus,BLR,2020-02-29,13169,9622,9953.9,10005,9764,10188,9391,10115,14792,8832
Belarus,BLR,2020-03-31,14174,10690,10841.1,11148,10260,10205,12080,10206,14002,10178
Belarus,BLR,2020-04-30,12758,10886,10298.9,10410,9817,9793,10825,10343,9912,8988
Belarus,BLR,2020-05-31,12610,11966,10341.7,10210,10453,10142,9940,10657,10063,10569
Belarus,BLR,2020-06-30,13311,13016,9387.5,9399,9629,9304,9036,9263,9456,9659
Belarus,BLR,2020-07-31,12206,11108,9562.3,9342,9377,9272,9525,9989,8547,9276
Belarus,BLR,2020-08-31,11652,10270,9306.5,9678,9134,9134,9215,9065,9337,9646
Belarus,BLR,2020-09-30,14859,11466,9187.7,8964,9073,9233,9249,9113,9579,8788
Belarus,BLR,2020-10-31,22162,12600,10455.3,10202,10364,10629,10256,10519,9762,10254
Belarus,BLR,2020-11-30,20063,15521,9597.9,9286,9969,9509,9545,9374,9678,11345
Belarus,BLR,2020-12-31,15073,18437,10227.1,10015,10207,9916,10326,10365,10592,11048
Belgium,BEL,2020-01-05,2466,2234,2385.3,2461,2244,2557,2382,2308,2359,2801
Belgium,BEL,2020-01-12,2396,2388,2426.5,2525,2234,2735,2317,2347,2220,2666
Belgium,BEL,2020-01-19,2437,2314,2417.7,2526,2295,2645,2336,2312,2356,2346
Belgium,BEL,2020-01-26,2430,2204,2417.3,2510,2263,2691,2253,2395,2528,2327
Belgium,BEL,2020-02-02,2275,2356,2504.9,2644,2180,2950,2355,2421,2629,2381
Belgium,BEL,2020-02-09,2224,2169,2483.3,2727,2127,2691,2353,2544,2554,2332
Belgium,BEL,2020-02-16,2316,2307,2518.5,2892,2121,2631,2565,2409,2445,2415
Belgium,BEL,2020-02-23,2137,2301,2482.7,2774,2230,2389,2628,2418,2293,2298
Belgium,BEL,2020-03-01,2015,2249,2539.7,2643,2336,2315,3002,2428,2163,2327
Belgium,BEL,2020-03-08,2155,2212,2447.7,2457,2264,2138,3016,2389,2412,2404
Belgium,BEL,2020-03-15,2101,2234,2339.5,2380,2248,2036,2724,2335,2387,2307
Belgium,BEL,2020-03-22,2115,2554,2317.1,2380,2364,2106,2594,2167,2397,2255
Belgium,BEL,2020-03-29,2217,3198,2221.7,2270,2273,2068,2460,2063,2505,2241
Belgium,BEL,2020-04-05,2205,4021,2114.5,2163,2080,1969,2203,2183,2540,2106
Belgium,BEL,2020-04-12,2165,4292,2090.1,2218,2160,1954,2175,1969,2439,2082
Belgium,BEL,2020-04-19,2211,3703,2046.3,2152,2049,1917,2044,2095,2337,2042
Belgium,BEL,2020-04-26,2201,3039,2027.1,2087,1996,2079,1953,2046,2202,1967
Belgium,BEL,2020-05-03,2251,2429,2007.1,2005,2087,2091,1867,2011,2241,1974
Belgium,BEL,2020-05-10,2076,2390,2025.1,2063,2065,2009,1980,2034,2055,2074
Belgium,BEL,2020-05-17,2027,2042,1976.1,1976,1926,2110,1860,2034,2090,2040
Belgium,BEL,2020-05-24,1995,2082,1965.1,1950,1946,2009,1951,1995,1917,1926
Belgium,BEL,2020-05-31,1992,1983,1926.3,1905,1885,1981,1953,1933,2040,1937
Belgium,BEL,2020-06-07,1878,1799,1872.9,1942,1856,1815,1811,1966,1932,2117
Belgium,BEL,2020-06-14,1964,1899,1855.5,2003,1851,1868,1734,1847,2107,2137
Belgium,BEL,2020-06-21,1780,1822,1917.5,1900,1920,2101,1779,1913,2024,1923
Belgium,BEL,2020-06-28,1928,1968,1891.9,1888,1846,1821,1950,1980,1955,1918
Belgium,BEL,2020-07-05,1829,1768,2018.1,2301,1899,1901,2080,1935,2028,1938
Belgium,BEL,2020-07-12,1906,1682,1856.7,1908,1933,1847,1833,1788,2051,1970
Belgium,BEL,2020-07-19,1999,1859,1899.7,1797,2030,1827,1988,1882,2143,1758
Belgium,BEL,2020-07-26,1890,1810,1990.7,1740,1917,1897,2107,2318,2012,1856
Belgium,BEL,2020-08-02,1877,1947,1880.3,1777,1801,1808,2125,1916,2060,1779
Belgium,BEL,2020-08-09,1890,2046,1870.3,1997,1788,1826,2000,1766,2142,1915
Belgium,BEL,2020-08-16,1840,2882,1850.1,1852,1976,1784,1887,1777,2102,1953
Belgium,BEL,2020-08-23,1861,2215,1896.7,1755,2120,1951,1824,1859,2070,1954
Belgium,BEL,2020-08-30,1954,1879,1902.9,1919,1866,1924,1825,2006,1983,1829
Belgium,BEL,2020-09-06,2012,1891,1842.9,1775,1835,1883,1909,1838,1996,2020
Belgium,BEL,2020-09-13,1895,1825,1859.3,1917,1938,1823,1811,1833,1902,2086
Belgium,BEL,2020-09-20,1885,2004,1877.7,1844,1769,1908,1970,1923,2040,1874
Belgium,BEL,2020-09-27,1939,1916,1902.5,1932,1906,1963,1831,1906,2086,1975
Belgium,BEL,2020-10-04,2054,1920,1963.9,1973,1904,1955,1965,2048,2217,1980
Belgium,BEL,2020-10-11,2221,2060,2014.9,2019,2065,2059,2006,1951,2215,1990
Belgium,BEL,2020-10-18,2335,2157,1999.9,2059,2041,2007,1957,1961,2198,2130
Belgium,BEL,2020-10-25,2327,2629,1986.7,2038,2025,1913,1918,2065,2166,2183
Belgium,BEL,2020-11-01,2276,3282,1978.3,2095,2088,1892,1907,1935,2002,2061
Belgium,BEL,2020-11-08,2382,3689,2001.5,1951,2093,1939,2049,2001,2051,2066
Belgium,BEL,2020-11-15,2397,3432,2038.9,1934,2177,2078,2017,2014,2070,2225
Belgium,BEL,2020-11-22,2485,3179,2099.7,2020,2143,2114,2060,2187,2209,2222
Belgium,BEL,2020-11-29,2728,2893,2099.1,2021,2191,2080,2107,2122,2241,2281
Belgium,BEL,2020-12-06,2604,2704,2159.5,1992,2221,2276,2173,2161,2497,2419
Belgium,BEL,2020-12-13,2534,2780,2215.9,2113,2221,2325,2233,2213,2632,2462
Belgium,BEL,2020-12-20,2431,2736,2250.5,2085,2321,2272,2263,2337,3039,2457
Belgium,BEL,2020-12-27,2448,2617,2235.3,2031,2418,2350,2251,2152,2859,2439
Belgium,BEL,2021-01-03,,2441,2235.3,,,,,,,
Belize,BLZ,2020-01-31,198,178,176.8,149,153,161,188,177,230,
Belize,BLZ,2020-02-29,184,166,161.4,147,149,141,162,152,225,
Belize,BLZ,2020-03-31,171,166,185.2,167,196,169,163,175,174,
Belize,BLZ,2020-04-30,143,145,169.8,171,152,158,162,150,196,
Belize,BLZ,2020-05-31,170,157,165.4,166,132,162,158,153,178,
Belize,BLZ,2020-06-30,178,168,162.6,127,161,171,146,152,174,
Belize,BLZ,2020-07-31,165,156,162.4,156,133,173,145,149,197,
Belize,BLZ,2020-08-31,242,156,162.4,124,164,157,147,164,192,
Belize,BLZ,2020-09-30,255,149,166.8,151,161,142,152,172,171,
Belize,BLZ,2020-10-31,287,189,167.8,147,142,154,171,169,184,
Belize,BLZ,2020-11-30,314,253,167.8,156,140,155,156,176,193,
Belize,BLZ,2020-12-31,182,275,182,151,146,187,165,205,195,
Bermuda,BMU,2020-01-31,67,39,53.9,53,45,44,56,52,56,66
Bermuda,BMU,2020-02-29,52,50,46.5,44,44,36,46,43,52,46
Bermuda,BMU,2020-03-31,66,58,47.3,41,37,48,39,52,58,59
Bermuda,BMU,2020-04-30,62,64,45.1,44,36,38,38,50,54,53
Bermuda,BMU,2020-05-31,55,48,45.9,37,42,40,43,48,47,43
Bermuda,BMU,2020-06-30,44,39,48.5,52,47,42,38,44,36,45
Bermuda,BMU,2020-07-31,45,40,45.3,39,47,38,46,37,47,50
Bermuda,BMU,2020-08-31,50,42,44.9,34,41,36,47,47,43,54
