Entity,Year,Life expectancy,Country with yearly maximum life expectancy - Sex: female
Norway 1866,1866,51.47,Norway
Norway 1867,1867,49.55,Norway
Norway 1868,1868,48.95,Norway
Norway 1869,1869,50.99,Norway
Norway 1870,1870,52.55,Norway
Norway 1871,1871,51.4,Norway
Norway 1873,1873,51.16,Norway
Norway 1874,1874,49.23,Norway
Norway 1875,1875,49.17,Norway
Norway 1876,1876,48.31,Norway
Norway 1877,1877,51.2,Norway
Norway 1878,1878,53.18,Norway
Norway 1879,1879,54.36,Norway
Norway 1880,1880,53.27,Norway
Norway 1881,1881,51.85,Norway
Norway 1883,1883,50.7,Norway
Norway 1884,1884,52,Norway
Norway 1885,1885,52.3,Norway
Norway 1886,1886,52.88,Norway
Norway 1897,1897,55.64,Norway
Norway 1900,1900,55.14,Norway
Norway 1901,1901,56.43,Norway
Norway 1902,1902,57.98,Norway
Norway 1903,1903,56.45,Norway
Norway 1905,1905,56.17,Norway
Norway 1908,1908,57.56,Norway
Norway 1911,1911,59.63,Norway
Norway 1934,1934,67.69,Norway
Norway 1935,1935,67.3,Norway
Norway 1938,1938,68.98,Norway
Norway 1939,1939,69.04,Norway
Norway 1945,1945,70.45,Norway
Norway 1947,1947,71.67,Norway
Norway 1948,1948,72.86,Norway
Norway 1951,1951,74.2921,Norway
Norway 1953,1953,75.0707,Norway
Norway 1956,1956,75.5262,Norway
Norway 1957,1957,75.5347,Norway
Norway 1959,1959,75.7854,Norway
Norway 1960,1960,75.8561,Norway
Norway 1965,1965,76.5274,Norway
Norway 1966,1966,76.7095,Norway
Norway 1967,1967,76.9442,Norway
Norway 1968,1968,76.79,Norway
Norway 1969,1969,76.6741,Norway
Norway 1970,1970,77.3203,Norway
Norway 1974,1974,77.9665,Norway
Sweden 1840,1840,46.14,Sweden
Sweden 1841,1841,47.24,Sweden
Sweden 1844,1844,46.91,Sweden
Sweden 1845,1845,48.5,Sweden
Sweden 1848,1848,47.29,Sweden
Sweden 1872,1872,51.88,Sweden
Sweden 1882,1882,50.03,Sweden
Sweden 1887,1887,52.84,Sweden
Sweden 1888,1888,53.5,Sweden
Sweden 1890,1890,51.77,Sweden
Sweden 1891,1891,52.5,Sweden
Sweden 1894,1894,53.05,Sweden
Sweden 1895,1895,55.29,Sweden
Sweden 1898,1898,56.03,Sweden
Sweden 1907,1907,58.05,Sweden
Sweden 1909,1909,59.48,Sweden
Sweden 1916,1916,59.28,Sweden
Sweden 1920,1920,60.24,Sweden
Sweden 1923,1923,64.05,Sweden
Sweden 1941,1941,68.26,Sweden
Sweden 1942,1942,70.36,Sweden
Sweden 1943,1943,70.08,Sweden
Sweden 1971,1971,77.3865,Sweden
Sweden 1972,1972,77.5328,Sweden
Sweden 1973,1973,77.7288,Sweden
