Entity,Code,Year,December,November,October,September,August,July,June,May,April,March,February,January
Australia,AUS,1994,38.750347,38.845444,40.22007,42.12073,40.131214,39.78191,39.658916,40.0223,40.041077,42.892746,41.061234,39.820057
Australia,AUS,1995,35.817966,37.516125,39.099144,40.64766,39.981373,39.52847,40.07977,40.45719,39.175762,41.668304,40.69174,39.248604
Australia,AUS,1996,37.33328,37.996216,39.418045,40.208035,38.67016,38.51563,38.137486,38.627098,38.14409,38.85454,39.14004,37.56357
Australia,AUS,1997,35.850006,35.837223,39.121197,39.574287,37.38615,38.484184,37.971146,37.970234,37.82401,37.97749,38.095303,37.913456
Australia,AUS,1998,35.08676,35.405613,37.72242,38.91965,36.685097,37.96179,37.226818,36.593914,37.67681,37.9181,37.79888,36.471306
Australia,AUS,1999,35.185577,35.062176,36.27318,39.083973,37.118774,37.23222,37.641487,36.56433,37.571327,38.770176,38.065533,36.71585
Australia,AUS,2000,32.82773,35.715324,37.71318,37.916252,36.803654,35.22694,36.61757,37.156906,36.04272,37.783527,36.790535,36.74913
Australia,AUS,2001,32.547367,34.137733,35.956318,37.122803,36.397514,35.33019,35.320713,35.65728,35.659557,36.774166,36.231842,34.37284
Australia,AUS,2002,33.3615,33.906914,35.923706,36.68009,34.977654,35.405293,34.43995,35.25751,35.446583,35.816822,36.410004,35.412193
Australia,AUS,2003,33.42949,32.93479,36.440792,36.93074,34.99149,35.52586,35.55617,34.72366,34.47769,34.795,34.990658,34.022427
Australia,AUS,2004,32.668262,33.781994,34.117016,36.20423,34.066025,35.93856,32.46833,33.64369,35.528816,35.941833,34.934307,34.824677
Australia,AUS,2005,34.89598,35.24716,36.515915,38.27188,36.34038,35.8767,36.523266,36.174854,37.09409,37.44277,36.09105,34.1125
Australia,AUS,2006,34.898613,36.47895,37.487606,39.192196,37.65981,37.366543,36.07458,36.303314,36.105743,36.07869,36.35443,35.45964
Australia,AUS,2007,35.191025,36.95303,38.602356,38.8438,38.797626,38.32104,37.624924,38.04637,37.2014,39.13711,38.63887,37.765377
Australia,AUS,2008,37.43799,35.538113,38.243908,38.80079,37.63673,38.58883,36.58577,36.999054,37.64727,38.027397,37.997456,37.694706
Australia,AUS,2009,36.16588,36.170403,38.117077,38.73214,36.02866,37.711525,37.2877,36.490974,38.087017,37.67326,38.628307,35.97624
Australia,AUS,2010,29.542683,33.536552,35.651062,37.350838,36.09714,36.672703,37.559418,37.017418,37.10439,38.945965,37.894302,36.352787
Australia,AUS,2011,34.536488,35.553833,35.789803,37.475933,36.084732,35.689796,37.195477,36.7986,36.87652,38.29625,37.76703,36.054745
Australia,AUS,2012,28.960968,34.782204,37.210373,36.670177,36.975655,36.38303,36.663128,37.19342,36.560165,37.37592,37.279278,36.533787
Australia,AUS,2013,34.07305,34.78267,35.633755,36.43095,35.195347,35.57807,35.83217,36.774654,36.101585,36.76592,37.230602,36.478786
Australia,AUS,2014,26.668112,30.037148,34.917965,36.405807,34.311142,35.538235,34.992577,35.253555,36.02028,36.08384,37.553986,34.71981
Australia,AUS,2015,33.334908,33.115265,34.533737,35.826263,34.11372,35.20402,34.505844,33.777817,34.682556,35.21115,35.282562,34.525257
Australia,AUS,2016,22.832241,28.190813,31.585352,34.52,33.49568,33.475346,35.059086,34.38485,35.096962,35.937077,35.80167,33.538605
Australia,AUS,2017,21.994293,28.023643,30.912653,32.882698,32.919804,32.10242,33.38407,33.039295,32.73859,34.29428,33.80499,33.084114
Australia,AUS,2018,19.31819,28.623268,31.26019,31.605095,31.881153,31.647028,32.262814,32.4553,31.953058,33.039658,33.279774,32.87618
Australia,AUS,2019,29.433836,30.581642,32.528923,32.26002,31.393427,31.917,31.689606,33.209076,32.587357,32.8085,33.046646,31.810825
Australia,AUS,2020,28.54043,28.914564,29.972105,30.929161,30.157959,30.88669,31.003641,30.839071,30.978155,31.342497,30.824703,31.147223
Australia,AUS,2021,30.387918,30.726376,31.74186,32.327106,31.365616,32.138313,33.156998,32.934196,33.55073,35.06515,34.966904,31.5819
Austria,AUT,1914,61.654858,62.724243,61.98526,61.54131,62.971813,62.73448,63.45035,67.14604,67.45597,64.80531,67.23031,63.47905
Austria,AUT,1915,40.895382,39.91193,40.299725,43.62422,41.965694,45.46051,43.008713,46.74489,59.103317,64.875114,66.44718,64.94026
Austria,AUT,1916,37.540173,34.57912,35.37627,39.051178,37.409874,39.946056,40.31105,39.955364,39.18582,39.25733,42.21346,43.049973
Austria,AUT,1917,29.684982,28.630798,33.44505,37.3441,34.20358,37.80077,37.666283,39.731995,39.34451,40.057743,39.619976,40.38814
Austria,AUT,1918,40.336956,40.378372,41.56549,41.518024,36.390747,34.748043,33.684708,32.635334,32.756634,33.85456,35.889824,35.232014
Austria,AUT,1919,56.610413,61.339348,59.779476,58.175243,50.835358,38.18236,37.271973,36.479164,36.20445,39.5412,44.60725,43.04532
Austria,AUT,1920,56.50338,55.44873,53.953236,56.872097,55.363262,56.54526,56.198883,61.46406,58.569557,62.292393,61.992,58.53698
Austria,AUT,1921,55.535442,55.80938,55.693665,58.463764,57.56439,58.751045,59.41107,63.562813,61.00755,64.34461,66.16381,60.994053
Austria,AUT,1922,55.47029,55.742058,55.628513,58.391636,57.494587,58.68124,59.34375,63.483704,60.93542,64.27015,66.08138,60.92425
Austria,AUT,1923,53.976505,54.241756,54.125416,56.814392,55.944954,57.099033,57.742466,61.7712,59.290855,62.529724,64.29874,59.281548
Austria,AUT,1924,52.231422,52.48659,52.380337,54.982292,54.139378,55.25623,55.8767,59.779476,57.377007,60.505432,60.076824,57.36429
Austria,AUT,1925,49.91861,50.164005,50.058216,52.544296,51.738148,52.80381,53.400238,57.126957,54.83322,57.82499,59.46603,54.82345
Austria,AUT,1926,46.75885,46.990288,46.88915,49.221508,48.4667,49.467216,50.024555,53.5158,51.366173,54.167297,55.704964,51.356556
Austria,AUT,1927,41.15598,42.604782,43.808502,45.764076,45.65596,46.558746,48.004917,50.100098,48.485783,50.649216,51.938747,48.494625
Austria,AUT,1928,41.160633,44.52825,44.79505,44.67251,44.678715,46.647167,46.903732,47.680252,46.898922,49.439293,47.64559,47.131134
Austria,AUT,1929,41.20717,39.176205,41.32816,43.816566,44.38554,45.521008,44.73983,46.814693,46.192047,47.038063,47.574883,43.836422
Austria,AUT,1930,40.9233,39.272377,41.17459,43.37417,43.115124,45.02773,44.557102,47.46619,46.32669,47.5453,47.78612,46.386566
Austria,AUT,1931,38.345234,37.166183,38.717518,40.503395,39.429512,42.01223,41.883484,45.455856,43.864655,45.404667,45.318245,46.34003
Austria,AUT,1932,38.46623,36.58433,38.205627,39.464725,37.78681,39.462086,39.762863,42.99413,41.705563,43.28265,42.05925,43.971375
Austria,AUT,1933,34.25477,35.098454,34.994682,36.58914,36.50243,38.0381,38.132725,40.262497,40.436073,40.406757,42.860672,39.87625
Austria,AUT,1934,35.581028,33.57411,33.151875,34.550266,33.431087,34.478138,36.08904,37.03759,38.777084,40.02982,39.738476,38.131172
Austria,AUT,1935,33.356632,31.727581,33.133263,34.223278,32.765633,34.22219,34.478138,37.284225,36.16117,37.52621,37.77551,38.12652
Austria,AUT,1936,33.19376,31.573704,32.970387,34.059784,32.612064,34.05932,34.314644,37.102737,35.98806,37.349377,36.298798,37.94503
Austria,AUT,1937,34.119816,31.756432,33.258907,33.843395,31.755812,32.33285,33.02111,35.539146,34.699337,36.130146,36.74508,36.493122
Austria,AUT,1938,42.868484,39.29642,37.442448,36.165977,34.02209,34.03605,36.464115,36.367477,36.690125,37.293533,38.0022,36.38144
Austria,AUT,1939,55.99149,51.77972,53.231937,57.227936,54.860676,56.0706,56.14599,54.25572,55.35256,54.167297,54.05628,50.579414
Austria,AUT,1940,50.86328,50.380398,51.99409,58.98791,54.12076,53.278473,51.88551,58.83481,62.676155,64.312035,67.31967,65.98731
Austria,AUT,1941,48.392246,50.231327,52.09647,60.738262,53.571644,54.27433,55.357365,58.34153,54.487,50.69575,50.52706,53.380848
Austria,AUT,1942,43.119778,40.570717,42.44501,50.178432,43.58048,43.761967,45.663094,49.295033,47.41826,47.121826,48.93505,49.188004
Austria,AUT,1943,47.00549,45.514027,48.1363,54.963055,47.000835,48.508583,46.961433,48.717995,48.726215,49.42068,49.903652,46.09339
Austria,AUT,1944,45.82814,45.735226,47.908276,52.85686,48.615616,47.866394,47.966446,48.927402,51.69797,54.776913,54.226833,54.199875
Austria,AUT,1945,28.833384,30.015696,34.627052,38.64725,36.967785,38.26147,38.450096,42.147186,43.826183,48.164223,51.1041,50.49565
Austria,AUT,1946,50.425846,49.79855,48.899483,50.76509,46.409836,45.660614,43.52324,39.769222,38.69053,38.79663,39.48602,35.44142
Austria,AUT,1947,45.685036,45.95446,48.704365,51.630516,47.62885,49.74447,51.180542,51.596195,51.341183,54.70609,55.901814,56.76863
Austria,AUT,1948,47.288437,45.68143,46.646355,48.72554,46.060368,47.0965,46.813267,47.716312,48.244747,51.942238,53.043037,51.800056
Austria,AUT,1949,39.51713,40.070766,38.680786,43.927574,42.370956,44.141068,44.56068,46.188923,47.367947,48.84425,52.194824,49.60392
Austria,AUT,1950,39.424305,40.11711,39.56124,41.955116,39.488876,41.84074,42.13358,44.21425,45.48474,46.898987,46.29032,44.11079
Austria,AUT,1951,37.825443,36.767418,38.850647,40.521236,38.264736,40.215378,40.171013,42.62622,42.599747,43.710033,44.23664,41.94203
Austria,AUT,1952,37.631165,38.853004,38.09437,41.487347,39.475006,38.74504,40.239838,42.347286,43.42809,43.402355,43.031353,41.052784
Austria,AUT,1953,39.204216,37.409077,38.38277,39.90598,38.524265,40.19356,39.858486,42.620735,43.126476,44.159584,43.47266,41.252453
Austria,AUT,1954,39.918415,39.40475,37.95168,41.405846,38.36387,39.54386,40.7365,43.025078,41.51847,43.447823,44.735256,42.931187
Austria,AUT,1955,41.17584,40.521313,41.44045,43.18885,41.32898,41.108376,42.25547,44.89357,44.453587,45.497784,45.684975,42.604057
Austria,AUT,1956,43.022568,43.352707,43.42341,46.561825,44.67348,44.57477,43.55132,47.01804,46.790455,49.22996,49.522774,44.785336
Austria,AUT,1957,45.03375,43.92178,44.699863,47.832466,43.583157,43.130905,46.71465,48.596886,50.186214,50.01656,49.94741,47.124126
Austria,AUT,1958,46.08194,44.985447,46.258427,48.16105,42.22548,41.82568,44.95401,49.913296,48.63512,51.95013,51.1282,47.852623
Austria,AUT,1959,46.288925,46.83897,46.093853,46.978516,46.19274,46.840164,48.828526,48.60595,51.12522,52.990757,52.99172,49.794506
Austria,AUT,1960,45.448364,44.153416,46.01566,49.70527,48.354794,48.296627,49.87949,50.842068,50.753674,51.08981,52.90944,48.947052
Austria,AUT,1961,50.31168,48.339073,49.17194,50.55492,49.258495,48.682663,48.80135,51.80409,53.737293,54.512184,53.74342,51.932972
Austria,AUT,1962,50.081165,48.459183,48.252712,51.320568,49.80347,49.050602,51.51148,52.253323,53.816658,53.90283,54.711185,51.892845
Austria,AUT,1963,46.040886,47.04122,47.963974,52.45376,48.210793,50.278934,51.825912,53.616474,54.94608,57.520252,55.173077,53.25408
Austria,AUT,1964,46.920826,46.646656,47.84654,51.921192,49.05997,50.127705,50.026447,51.47534,52.68442,55.49367,54.96849,50.82781
Austria,AUT,1965,44.583202,45.196777,45.582695,47.804844,48.127647,46.684322,50.2019,50.296093,51.481163,53.368572,54.26612,50.647453
Austria,AUT,1966,45.592205,44.548653,45.949303,47.929546,46.884167,48.398994,50.139885,49.18436,50.819817,50.086594,50.971302,47.430428
Austria,AUT,1967,45.156975,43.804848,45.901173,47.112232,46.43299,45.95368,47.043842,48.50082,49.26041,49.225914,51.82783,48.25402
Austria,AUT,1968,45.02803,42.660294,41.74261,46.61887,45.966213,46.62203,46.187225,46.7288,49.10432,48.73908,49.803886,48.79476
Austria,AUT,1969,41.25444,40.68738,41.17209,44.59084,43.322056,43.960102,44.632965,45.901257,46.885624,48.218235,48.458344,47.73167
Austria,AUT,1970,39.455067,38.426014,36.691204,38.879364,40.330845,41.529884,41.8716,42.152973,44.347237,44.584866,44.412094,42.236916
Austria,AUT,1971,36.36412,36.258503,37.605637,39.885674,38.419514,39.960587,39.21743,40.76063,40.763733,43.247437,42.60451,41.01494
Austria,AUT,1972,35.76708,34.930725,34.70456,36.589844,37.555855,38.64785,38.0455,38.206345,37.79965,40.06529,40.759502,39.40982
Austria,AUT,1973,33.41494,33.280075,32.806675,35.03033,35.19899,36.668922,35.454052,35.521507,36.188972,36.14887,38.316765,37.314648
Austria,AUT,1974,32.642994,33.739296,33.482986,35.094337,35.16335,35.72291,34.75859,35.483177,35.68253,37.58608,36.04033,36.251392
Austria,AUT,1975,31.713457,30.576254,29.679203,33.366653,32.953663,34.314842,34.858883,34.924355,36.376762,36.566486,36.156418,35.456993
Austria,AUT,1976,28.67771,29.611591,29.86336,31.56394,31.484035,31.21107,31.86801,32.04699,32.07513,32.750694,33.691772,34.320183
Austria,AUT,1977,28.887972,29.399137,29.961517,31.279343,30.536552,30.58964,31.739056,31.510239,31.553589,33.32234,32.324368,30.95948
Austria,AUT,1978,29.833206,29.841959,29.279182,31.532703,30.104052,31.480541,31.134882,31.63016,31.765903,32.184685,32.19035,30.501354
Austria,AUT,1979,29.83672,29.856735,30.2464,30.682169,30.775627,31.119244,31.31479,32.84472,32.863758,32.189777,32.36255,32.26982
Austria,AUT,1980,32.280434,33.26659,32.973896,34.702972,32.235935,33.345657,32.516724,33.32572,33.127506,32.613155,32.42457,31.990145
Austria,AUT,1981,32.774414,33.847183,33.09402,34.591385,34.049084,34.59317,34.008434,33.49812,34.555523,34.250103,35.464226,33.704453
Austria,AUT,1982,32.79979,33.282024,33.446285,35.23632,34.663265,35.039154,34.51779,33.95918,34.823914,34.540333,34.901398,34.644413
Austria,AUT,1983,31.00241,31.015368,31.481594,33.69363,33.52692,34.2251,32.69201,32.233227,32.552048,32.63532,33.565277,33.382893
Austria,AUT,1984,30.176065,32.28105,30.989138,32.750923,32.493687,34.125214,33.081,32.373604,31.517761,32.397396,33.291496,31.691238
Austria,AUT,1985,29.572954,29.951752,31.179083,32.589928,30.618544,33.10673,31.452168,32.350037,32.054268,32.967022,32.14535,32.197395
Austria,AUT,1986,30.21713,29.328644,30.472982,33.103027,31.798815,32.432034,31.229189,31.123596,32.559925,31.605707,32.199547,31.849134
Austria,AUT,1987,30.708424,30.861856,30.003815,32.18483,32.276714,32.84033,32.083054,30.35919,30.936573,31.218025,31.096933,31.016005
Austria,AUT,1988,30.530138,30.95276,30.483433,33.320694,32.554543,31.816994,30.97646,32.549515,30.593636,32.290733,33.00465,31.69527
Austria,AUT,1989,30.387701,29.882048,31.09431,32.70406,33.31734,33.594597,31.709478,31.394995,31.395117,33.05186,32.86287,31.734491
Austria,AUT,1990,30.883583,31.533455,32.437176,33.741978,32.97514,33.830746,31.795063,31.662527,31.45823,32.808014,32.14364,32.117218
Austria,AUT,1991,32.005817,32.041668,33.42199,35.537918,33.804604,34.955177,33.474102,33.195663,33.45519,32.515022,33.830395,33.149426
Austria,AUT,1992,32.567963,31.793758,32.481697,35.380642,34.11744,35.151413,33.38519,32.431614,32.003532,33.17032,33.39552,32.807316
Austria,AUT,1993,31.206598,30.81886,32.597675,34.71997,33.322544,34.52611,32.720066,32.104694,32.633507,33.296932,34.468487,33.8285
Austria,AUT,1994,30.888176,30.11738,29.828806,32.184135,32.313076,32.533382,33.047306,32.295116,32.30079,32.219414,33.6275,31.728642
Austria,AUT,1995,28.500517,28.895857,30.58383,31.770002,30.902472,32.50077,30.36172,29.641024,30.455912,30.897652,31.50933,30.879477
Austria,AUT,1996,30.82025,29.783396,30.20799,31.290014,30.243914,31.435389,30.819992,29.748438,30.056694,30.457497,30.91447,30.164928
Austria,AUT,1997,26.823832,26.063335,27.50333,29.768988,28.79031,29.824648,30.511156,29.087433,29.950146,28.941328,30.062223,29.641747
Austria,AUT,1998,25.529913,27.30724,27.145128,29.356943,28.72876,29.350988,27.574284,28.205019,28.308313,27.568354,28.0749,27.76515
Austria,AUT,1999,26.150915,24.65667,25.342686,29.232368,28.396078,28.305016,26.951529,25.719984,25.835657,26.380962,27.513464,27.066734
Austria,AUT,2000,25.277676,25.368507,25.891092,28.398184,26.915663,27.202728,26.716427,26.862698,26.34364,27.400978,27.508133,26.556799
Austria,AUT,2001,24.344788,24.011856,25.535143,26.981382,26.033619,26.58209,25.413937,25.73679,25.68415,25.625572,26.112694,26.592175
Austria,AUT,2002,25.606867,25.721249,26.604355,28.62761,26.234438,27.658371,26.305048,25.97416,26.078215,26.890747,27.064104,26.391947
Austria,AUT,2003,24.619862,24.292091,26.157223,27.320005,26.319391,27.50698,26.058567,25.551235,25.280142,25.80874,26.550108,26.170269
Austria,AUT,2004,25.340357,25.911776,25.697826,28.424286,27.334501,27.579897,26.736633,25.727663,25.910572,25.422266,26.02786,26.863443
Austria,AUT,2005,24.19052,24.149097,26.142504,27.712421,26.562464,27.702065,27.149012,26.063625,25.717245,25.753748,25.912384,25.498274
Austria,AUT,2006,23.485079,25.12464,26.13779,27.63336,27.073448,27.073486,25.862755,25.55104,24.719646,25.448675,26.297382,25.506435
Austria,AUT,2007,23.330984,23.677246,25.689978,26.950706,26.196836,26.615738,26.01868,24.8823,23.900496,24.447315,25.20688,25.332249
Austria,AUT,2008,24.70306,24.092916,25.328527,27.304974,26.590271,26.364923,25.512175,25.025629,25.117168,24.111769,26.113657,26.167385
Austria,AUT,2009,24.391968,23.95159,24.651337,27.11084,26.2291,26.863724,25.669962,24.331665,23.723906,24.413345,24.40307,25.060143
Austria,AUT,2010,24.43264,25.750736,26.271091,27.65912,26.591955,27.257774,26.092018,25.410645,24.77218,25.032698,25.532333,24.77413
Austria,AUT,2011,24.557915,23.437006,25.51099,27.719633,26.380772,26.885283,26.74552,24.733416,24.083149,24.3878,26.054739,25.61704
Austria,AUT,2012,23.987328,24.702803,26.136608,27.44611,26.92406,27.544067,25.24644,25.85196,25.188984,24.739588,24.80922,24.511534
Austria,AUT,2013,24.649837,25.034206,26.54527,28.16755,26.691975,27.379847,25.562454,25.193098,23.664806,24.682957,24.685915,25.30147
Austria,AUT,2014,25.020079,24.959557,26.7299,28.588087,27.430187,28.470032,26.642277,25.945932,25.294569,24.659893,25.434845,25.27733
Austria,AUT,2015,25.234482,25.735949,27.050299,28.629654,28.273909,27.674616,27.493765,26.629137,26.254953,25.81894,26.103022,26.248968
Austria,AUT,2016,26.395369,26.430265,27.507792,30.631495,29.117746,29.562527,28.308666,26.863503,25.893173,26.393478,26.126099,25.881361
Austria,AUT,2017,25.780455,26.637148,26.954407,28.373213,28.735323,29.119164,28.424532,27.377382,26.705761,26.260553,27.358372,25.888111
Austria,AUT,2018,24.428629,25.029442,26.180626,27.99713,27.679691,28.732874,27.222662,26.970722,25.62969,25.458271,26.423079,26.397339
Austria,AUT,2019,24.868368,24.90919,26.66247,28.04979,27.19569,28.350855,26.731295,25.588428,25.891891,24.957487,25.643578,25.71297
Austria,AUT,2020,23.607216,23.945797,26.0068,27.386028,27.280813,27.78091,26.546547,25.636282,24.942131,24.637304,24.504559,25.123072
Austria,AUT,2021,24.376291,25.626982,27.267984,29.334473,27.104273,27.580622,26.90364,25.672089,25.089516,25.640148,26.541176,24.994223
Austria,AUT,2022,22.477928,23.947584,25.815046,27.927568,26.74087,27.010954,26.519081,25.089153,23.632383,23.108204,24.584953,23.75145
Austria,AUT,2023,21.77378,23.122683,23.541233,23.568474,23.839836,24.865423,24.271679,23.571033,22.64328,22.415667,22.837912,22.983458
Belarus,BLR,1945,23.69278,30.225769,31.250967,34.812866,38.30608,41.622345,40.73908,41.240005,50.270927,56.10283,59.12846,72.80489
Belarus,BLR,1946,37.863373,56.118122,65.391594,68.23671,69.04189,57.676445,48.507618,47.723625,44.128456,45.051296,47.08889,58.010487
Belarus,BLR,1947,30.405802,53.43989,60.545982,63.86171,64.80802,65.14207,58.11016,61.20199,61.79481,68.33759,72.923615,102.62713
Belarus,BLR,1948,42.37092,58.90864,65.705505,65.6666,69.782425,64.308975,56.62965,55.43072,51.027817,62.159843,68.47734,97.2221
Belarus,BLR,1949,42.74923,61.383095,63.0694,64.905556,67.64536,70.478676,63.574757,70.49075,71.904724,80.894325,88.358505,126.55736
Belarus,BLR,1950,44.938606,56.93324,57.507412,61.462112,64.17214,66.10394,63.736946,65.926865,67.63369,73.94385,81.1713,105.88705
Belarus,BLR,1951,46.250626,60.25192,61.451515,62.25643,65.375496,66.0315,63.275326,66.397736,66.552414,72.04022,79.0949,104.79236
Belarus,BLR,1952,43.751354,54.72494,57.38265,58.359688,59.1092,62.389244,59.565723,64.8362,67.924805,73.4609,76.3847,103.76609
Belarus,BLR,1953,43.31267,55.49015,56.31613,57.478035,58.64235,58.304283,56.59222,60.131447,61.919575,64.28483,66.32012,84.19852
Belarus,BLR,1954,50.657555,61.707478,63.00501,64.36907,65.11389,66.8324,61.387253,66.71568,66.602325,66.92094,70.55313,88.15469
Belarus,BLR,1955,47.808144,62.435257,63.974934,63.86171,64.05543,64.55045,60.78008,66.305176,68.53614,70.28952,71.82749,92.931885
Belarus,BLR,1956,50.07399,61.187634,63.966885,65.04695,65.58075,66.35749,61.021286,67.866714,71.12288,72.41853,73.988396,97.55212
Belarus,BLR,1957,52.854984,66.531624,67.7661,66.594,65.44391,65.005226,61.16684,67.560844,72.486946,73.24357,74.059845,91.10069
Belarus,BLR,1958,55.627926,70.299446,70.941505,70.08735,64.40959,61.25431,63.774376,72.6761,74.34175,76.435074,76.60411,96.03484
Belarus,BLR,1959,54.03049,61.86727,62.641373,66.819534,65.98801,67.02881,65.92974,70.37992,72.952095,75.316216,76.40753,93.64021
Belarus,BLR,1964,43.245125,47.0665,47.414684,48.85412,49.437023,48.77437,49.81492,52.23945,56.7581,55.821125,57.246193,59.350758
Belarus,BLR,1965,42.916775,45.303566,45.090714,46.772587,45.50751,43.871983,44.814995,49.994232,51.348606,53.126305,56.23277,57.27274
Belarus,BLR,1966,45.04291,43.521435,44.10981,46.166492,44.999424,45.17872,47.189472,51.9352,52.909462,51.398033,51.261135,51.51638
Belarus,BLR,1967,42.883705,40.64738,40.566875,43.61757,44.43194,45.982075,44.905285,47.581367,49.042484,47.814514,50.390408,50.624737
Belarus,BLR,1968,40.70938,41.528812,42.469814,43.008694,43.674255,44.977406,44.208744,46.494873,47.590866,47.443195,46.51906,48.662437
Belarus,BLR,1969,38.34393,39.40979,40.109783,42.444016,43.99401,43.421177,43.10985,46.398197,46.561367,45.396637,45.789433,47.592945
Belarus,BLR,1970,39.01483,39.01121,40.3216,43.803986,44.541195,45.06698,46.353214,47.881496,48.180836,46.521854,47.202454,45.93599
Belarus,BLR,1971,40.630035,42.091316,40.876045,43.365635,44.042824,45.70007,45.04881,48.33291,48.080055,47.65952,46.387455,46.461765
Belarus,BLR,1972,39.006386,41.032635,40.222843,41.19142,42.724804,44.517673,45.525852,47.366688,48.98417,46.616726,45.57767,45.847427
Belarus,BLR,1973,39.99541,40.003563,38.4653,41.715916,42.51813,44.37489,46.18925,44.142765,44.91558,43.81562,44.561348,44.935143
