original archive,title,safe title,javascript file,data files
011_cannabis-exposure.tgz,cannabis exposure,cannabis_exposure,cannabis_exposure.js,files/0b10478d2fdc6ebab0ea43f6bb79beadba6d3c4cb4fc8466f79eccd55646fcd048254c229b67c4f981e1c58a62dd2e75f0b88f24fe30d6eb6523aaa1b843ed34.csv
012_health-data-bar-1.tgz,health data bar 1,health_data_bar_1,health_data_bar_1.js,files/4d979e6b89f18f96833d58be7b56ff2d699c4ac47ac91776f85ea280021843a91aadc6d0385200dd1e2bfc597773f2c0a8903f219d78de5b8693675cffccefec.csv
013_data-health-bar-2.tgz,data health bar 2,data_health_bar_2,data_health_bar_2.js,files/4d979e6b89f18f96833d58be7b56ff2d699c4ac47ac91776f85ea280021843a91aadc6d0385200dd1e2bfc597773f2c0a8903f219d78de5b8693675cffccefec.csv
014_4c1fb232cc0eea23.tgz,Traffic-citations,traffic_citations,traffic_citations.js,files/1d58678cdf1d2e9ebec37ee121a7a31f873d96d21ba81108b037f86c2bf84975b9f4c704e440d4cd3d01b70c5c0e28c6613348150b6fd5e740f69d6ee7b98ccf.csv
015_3098f13198ef0232.tgz,Play space,play_space,play_space.js,files/5f3d441fafb7a52a6293871a6d36386af404d712ea79b3700371a56945d735660e0f29bb138a54219bd919b6f1ebfaf58296ad6ff73a46e5d29cd1436581ac90.csv
016_6187ecada738db22.tgz,United States County-to-county Migration,united_states_county_to_county_migration,united_states_county_to_county_migration.js,files/dac4ba99547aa823c17b10eb70f8eb3a166c87a09b299cd645aae6459b6ecb0781701fe1cf6d4c0cb94d53d3e550f199c180f9da202814eef73ddf83984d5776.json
017_us-gdp.tgz,US GDP,us_gdp,us_gdp.js,files/0bb41aa56de1cbec15e314e316de91ffa0b5b96a769d6ea9cbe24ee0952cc2a1ff1f48e8da2207ccd2051de881e54bed7199db755279df14e1d54b0aa89e5056.csv
018_zoomable-sunburst.tgz,Zoomable sunburst,zoomable_sunburst,zoomable_sunburst.js,files/e65374209781891f37dea1e7a6e1c5e020a3009b8aedf113b4c80942018887a1176ad4945cf14444603ff91d3da371b3b0d72419fa8d2ee0f6e815732475d5de.json
019_world-cup-2022-circle.tgz,World Cup 2022 Circle,world_cup_2022_circle,world_cup_2022_circle.js,files/6617724f990b5f1c007c278726905f6fe9b5c5d8a2cc4f7024119da97c10ed116683e7b53b444250d545f707b41371f77290f20dc712284d0b534d7b9632176b.csv
020_chelsea-transfer-fee.tgz,Chelsea Transfer Fee,chelsea_transfer_fee,chelsea_transfer_fee.js,
021_premier-league-managers.tgz,Premier League Managers,premier_league_managers,premier_league_managers.js,files/5891584cae7a9fcc659cf8dbea8828ccbe7a55286f2142971c6890b71810667ccac5e7c58c1e309fc44e044c3a7f306e2a48fbb007ec31c6b2cb4e0316921b7d.csv; files/ffa2463df81101a4f64d17bca9d6c40a8406193c1ae7b8f1c3f368371e017ec3562522855d9853227274700e0a18054e3d7207b32db77b10147ac042f810fb74.csv
022_5de35404b35deed8.tgz,Indented tree,indented_tree,indented_tree.js,files/320319adbe9bc55f48decd5ac50240eb20a281129a3bf74dddec2e06cc751f75332ed152518f30160e9764e5aaf3343df10987252d7a41c1e912681dd7d1530d.json
023_32528cae2454960c.tgz,Tidy Tree,tidy_tree,tidy_tree.js,files/319d5b81375f780850b8cdc86d394924a149960bb68df92a87aa79a66bad9a6351b80b847fbebe11a41f935358dc6cf7fab54d4f509777e41488c76a52ce8e72.json
024_c9165614abc3c34d.tgz,Radial Tidy Tree,radial_tidy_tree,radial_tidy_tree.js,files/320319adbe9bc55f48decd5ac50240eb20a281129a3bf74dddec2e06cc751f75332ed152518f30160e9764e5aaf3343df10987252d7a41c1e912681dd7d1530d.json
025_e70b572f85764265.tgz,All the Flights in the World,all_the_flights_in_the_world,all_the_flights_in_the_world.js,files/5e513b2036bf7088e7380f9bee8d502fa739d80843bd227fe401e2e83222757a55d177900bf67b3057b2f644792eedb43d3d63eeb599a7f2bb1d82fca2818779.csv
026_38bdda2b7caf6e02.tgz,How Old Are Recent Newlyweds?,how_old_are_recent_newlyweds,how_old_are_recent_newlyweds.js,files/cac2ee1e29183483275c0f85667151da9cf4c6a7efdb70b5927b1a09db1130b2b1a3583eb8a7980725a830ef64b0245f13adceca1104f14f48c8dc4813f0582a.csv
027_326e00c42fc73c5d.tgz,Percent Change in Marijuana Use 2011 to 2016 by State,percent_change_in_marijuana_use_2011_to_2016_by_state,percent_change_in_marijuana_use_2011_to_2016_by_state.js,files/557c88176897163962be25555ce27c13e202dfaf51bbc751cd53f0ab9a2a977a987a299012df67d3b0416e31bfb2a4516f90e567484401714d08ff3d67fcc934.csv
028_b787bc7974e1f0b2.tgz,Percent Change in Past Year Cocaine Use 2011 -2016 by state,percent_change_in_past_year_cocaine_use_2011_2016_by_state,percent_change_in_past_year_cocaine_use_2011_2016_by_state.js,files/68cd7c019dbac712ba1c04f245b2bf2ff011a9cc211c81441df1776234412f7771e352da7fbe676c35411cd154cfbce4273a14ba448307234806261bcd2b6fdb.csv
029_d8d343511c03acf7.tgz,Percent Change in Past Month Alcohol Use between 2011 and 2016 by State,percent_change_in_past_month_alcohol_use_between_2011_and_2016_by_state,percent_change_in_past_month_alcohol_use_between_2011_and_2016_by_state.js,files/ad86488943869abc7d203c9e5e0347e9abe21fc31451d7168eeaa3de58411df9f69228f7bfc7331ff5b383bd175b52a872e1df0891b404793f3ec25b53edf20e.csv
030_2abe767da206ed2b.tgz,Persistent poverty and high poverty U.S. counties,persistent_poverty_and_high_poverty_us_counties,persistent_poverty_and_high_poverty_us_counties.js,files/88e3b47f78683d1af0c812fc985bc795c68d6459da8ae1d7aa31a39343bb1fd90681bf3b95eb6c91217a7ef72ceccc04ddc6c2ff4208202c1fb40f67975f4298.csv
031_ad06c98b232deab5.tgz,Geography of Educational Attainment in California,geography_of_educational_attainment_in_california,geography_of_educational_attainment_in_california.js,files/762b06bdc00b4c99e2ecf1319e658c9f778a28bb99802c0cf96a34e471d717a87ee3a262cec3444a948d239e15cbda271d7870952793714b22b98c58f7102e47.csv
032_6d1c43df3a1de518.tgz,Energy Consumption Animated,energy_consumption_animated,energy_consumption_animated.js,files/2688a1d146762959222d28cb0cd8c45cd067959bd3b229887826d1565960a1d59a9ce6347202d21c4c1723d22ca670d9e10acc5d6e34f29bab236b5a7552b037.csv
033_6c81fc440235fdb4.tgz,Dublin Stats,dublin_stats,dublin_stats.js,files/c17853a64279c6ad17bf1979e9f856cae7e2b05be2954859372bf041684ed65803d67c181c68e25a6ce6585d6a53c910689a427f0c6a0dc862dc62b4d2a6d2e7.csv
034_ad1587cfc205c2f2.tgz,EHS - Public,ehs_public,ehs_public.js,files/1839bc9f85d5fccee0e93a7c8d3f8942ca3a995acf09f127404fc2ef1df0fdfad7f9312d99d79977573fea13aa17575be568ca6b8c777e4ebdaf5e7883124453.csv; files/4b05560e786692af6481f09a15f0028c7596b62bf71dab075b0ce4aefbcb812493458ea6dbebf324ef61a8a59001ddb4550796048c836176d21e7a5a81d32c5d.csv; files/efdce4bb52b7590ae0698db9cbb8bd7c5b1f8aaf82e986f6773cdd8485548d72ea719856a0e08d649b3aac6bf3f4a7a4d1002e6584bbe68cbb81573a08917419.csv
035_11cf572dd1b14ff7.tgz,Homicide Rates,homicide_rates,homicide_rates.js,files/090b0489b61dfeb9db12c5c045ceef55cc22c9f8db9e3908a6dfcd3e60b68518866a951ca103e0b71dc0c96a8839a4a6f4ddbe5903a432066cd77ab4fc7d97ce.csv
036_olympic-games-medals-over-time.tgz,Olympic Games Medals over Time,olympic_games_medals_over_time,olympic_games_medals_over_time.js,files/1321d779fc9703d297ca695a37dd800e4709db0ee42ddd2b36ab1a13235ad838dfe30695ae76bda7ade60276fad63f2868eab004514a80581f2101215fdc3db3.csv
037_late-night-snacking.tgz,Late-night Snacking,late_night_snacking,late_night_snacking.js,files/a664bc64cdbe303f0e1c8757f59ed4709ae90f53f959602a9dc007706470196698ac7ab2682a54bc8b82cbb613a6ed20af141f3e0d1f0b54cc7b10f180012f04.csv; files/b02e994af693a8530db85c8522f4caabe6dd54a5cc33f63ecffd5fb8c1c6f11b2df62604335e2df1a28061f6c7deb194686d9d7f41e3b1e99fef95c7a21f2ad3.csv; files/ba24e276ab98bf5409904d7fa13c8feef0b50db8e0466f8d88012fa1d339e8faa0ff857ea78514cc52255ea8e2250b79aa817a4f4865f81a88f02ab885875c20.csv
038_939918b55e6a5108.tgz,Historical price of computer memory and storage,untitled,untitled.js,files/38df7d46e1744fcd320e148533b158cc30b339e4de6e4eae8b659de03da2e6ea54fb9788cdf8c161e2b28ec384bd8f40dc8dd4006a56f376a03e869c49588cab.csv
039_64887ee832929930.tgz,Mobile Money Accounts,mobile_money_accounts,mobile_money_accounts.js,files/2c7592d9a17176b60dcf0bf63bca5260150e83819ac69b354d5eb9a845bee7becce958843b5e1f4699394705f9fabafcb059cafadc4e5b8230ab5ad938dc581c.csv
040_6760acab97435487.tgz,Internet,internet,internet.js,files/c256f9c32d377a2292e1a55c0c2d9ba7ecb2ec5720de1e3225767a13c5a4d38290ff09fba4c20d17c86ac7707f8ce7cbdfb9a6ef89c96b5ac67bd452216cc7d0.csv
041_fdbb3d8a0cd4bd58.tgz,Medicine,medicine,medicine.js,files/638350ffe4b7e405984bb25ef7d82c1a53ffb2d89b0d91763c99eff4b55e8b221dc6c232ca921f3c595987b9da7f14b60c7e2458febfca4107fbcd0616c636bb.csv
042_1edfdbd0a0cf213a.tgz,UCR Violent Crime,ucr_violent_crime,ucr_violent_crime.js,files/36d221125c8b5a54c049d8d2baf2cf92ce4b69e788f1d89fd3b400f8907d1c66106162deb2634bcdd41f28d38fc892c419568be771265e0f5d343c9cf83c3404.csv
043_598fb95f4893d856.tgz,Stroke statistics - leading cause of death,stroke_statistics_leading_cause_of_death,stroke_statistics_leading_cause_of_death.js,files/2f7dfcb8230fce7ea2304ecd061a59156f1310aebfb3c6efe2e1c7a7a25047fd698597978dd528de8d3566301e1ed209b31e15242af6611c7444f88219ec8e03.csv; files/86765bea67e280167fa5bdaaccfec6bd5412b428b7a3270a4c87e959fc45da9acbc853f9e54e387bd3253ae7e3bac3f727e7752e97a93d4d5b82fcf33b9cade7.csv
044_fcadcfb0a70486b7.tgz,Landline Internet Subscription,landline_internet_subscription,landline_internet_subscription.js,files/d7bda27866cfccbd36e77475f505d8d95cd4e01a8121068062c0470b7431f727c1f88733397c3b013e71e061225212b51c45ba419e5faf71b122a34088880617.csv
045_c796dd26baa3c4f8.tgz,4G network,4g_network,4g_network.js,files/e16c0ada51462faafff109afbed2e18ff4c25d0be2bcc8b9361fa8ce59409f8fb15f1158b742354ea29e7204926346531b9f291b5e6ba9246e9581c36ef50e6a.csv
046_dd366878162d0d28.tgz,Who owns a phone,who_owns_a_phone,who_owns_a_phone.js,files/c256f9c32d377a2292e1a55c0c2d9ba7ecb2ec5720de1e3225767a13c5a4d38290ff09fba4c20d17c86ac7707f8ce7cbdfb9a6ef89c96b5ac67bd452216cc7d0.csv
047_d9ad549baa56a3a7.tgz,Death rate,death_rate,death_rate.js,files/dbbed817c45391c5281ce2d661dc79259aaa0d85385decf761ccf2b32e48debcea222be587ebdd03c3557ec10e71fb6b4dd4e827af0de5a05651b63e5c50b4de.csv
048_4c5f0483c5ac2bba.tgz,Countries where armed conflict happened in 2024,countries_where_armed_conflict_happened_in_2024,countries_where_armed_conflict_happened_in_2024.js,files/6fc3c43974722d64d2c840cab7be9f93ce33a8de0e55013de28c26ad201d9502589d219fbeff19a1e55a7b5f441ac19deebceb4ec7d2b0465f156793a3246a36.csv
049_8ffd349e8704e11c.tgz,Interstate and Intrastate war 2010,interstate_and_intrastate_war_2010,interstate_and_intrastate_war_2010.js,files/60cd1dbdcfc91772bb42792365e71c3a1af2fa8820e3b9b1984b8bd24e5d797d40fdc7554ff80e6d84588d9fe87fd1d536bc96635471b308579bcef419aba8ea.csv
050_65c10cfa93cada0a.tgz,Deaths from one-sided violence,deaths_from_one_sided_violence,deaths_from_one_sided_violence.js,files/5cf487d978b5f405fb1a26bedee3ee17f10608f3cb4affd8c4a7fc670bc2c1a017effd7d988067340ed89bbf618b1e5ad90832d873d525ad8187aff4f3cfab31.csv
051_a2975a8c512f9051.tgz,Deaths in interstate conflict 2024,deaths_in_interstate_conflict_2024,deaths_in_interstate_conflict_2024.js,files/88d1c719e25e4c86cdfae69526fb97c5a28cefb67c52fb19f33c27769a0c25a29a6b4ac98156bc372ac321832b71d19aa469719232feadb0dcb42764f4868d53.csv
052_53d7741e44dea574.tgz,Intrastate conflict 2024,intrastate_conflict_2024,intrastate_conflict_2024.js,files/9b416fad3fca5655780483e2ac78a63a50ad1ab2eacfd2b0ba7d7297073b195c564bc9e9c5e468e58233f29314532e008d6ec89257a12314997bf0f8c455074a.csv
053_forms-of-homelessness-included-in-available-statis.tgz,"Forms of homelessness included in available statistics, 2024",forms_of_homelessness_included_in_available_statistics_2024,forms_of_homelessness_included_in_available_statistics_2024.js,files/c61a0ecc4ab0f9ca6ca9351ef3616c38f21c3aeeaa4ccfc1d6207790eee711b7775358172894187f3584b182e17831b6691d8df57b0b4f2fb502428e8b793009.csv
054_profit-margin.tgz,Profit Margin,profit_margin,profit_margin.js,files/2d1a082b217b2a974da55868a9026d6802a18396b864eeb11b45d2c8bf418f0538384f3e974a4d6680b9c69c4c9d9b56ebd6f0c5d3ea1262641c73b35fbedb9f.csv
055_share-price-hits-new-high-amid-record-trading-volu.tgz,Share price hits new high amid record trading volume,share_price_hits_new_high_amid_record_trading_volume,share_price_hits_new_high_amid_record_trading_volume.js,files/fc2e3df4357e0379e403f016a2280e7ea0ae4b8bf21c88a6e15ceff7fc9a9f7b463bf927a19fedcf34eed9429991826664b5f818ef187a9afda5987a6376c2c3.csv
056_marketing-spend-by-channel.tgz,Marketing spend by channel,marketing_spend_by_channel,marketing_spend_by_channel.js,files/f8e3b8f7a5fec49b5829de151af20d7fcec30515e62e051674d05636b814471aa6538d9a25844baea8611d13c08e3abdb8abda3fbfeffcd9a75423a364d415c4.csv
057_social-media-influence-on-mental-health.tgz,Social media influence on mental health,social_media_influence_on_mental_health,social_media_influence_on_mental_health.js,files/f86732945408acfa0dba4317e57b8df96f4454471338dc545ffa153c3a65b828eb378fd4ac815dc6be12e7ae5cde070ceec5c0a7ae7095d69219fb51b6994037.csv
058_the-pursuit-of-happiness.tgz,The pursuit of happiness,the_pursuit_of_happiness,the_pursuit_of_happiness.js,files/a1497450fb157c5edb6972d601ffbcac176b6c7962371792e4919257656ac608ce9d3d61ed13380f1a6a039a00ebc08a91f691d287329b5f0a40102438fb8f2f.csv
059_which-regions-walk-the-least.tgz,Which regions walk the least?,which_regions_walk_the_least,which_regions_walk_the_least.js,files/2fcf69ef941ee5ea2f39be369045dd75289eec530d8c01feeb4833907e09d0265e0e2663f14c9db4a0805e7c7532d2dcaaeb350ff56092ef57dc5c474b30bf00.xlsx
060_earthquake-spikes.tgz,Earthquake spikes,earthquake_spikes,earthquake_spikes.js,files/0d56938726efbb0e8d3e505edb7e3617e1d3819259ed35039e839b76a75f835efdd115cac652305d9b98057deaa2e918af37332dc77f24de87bd06784dc2f37e.xlsx
061_fifa-ranking.tgz,Fifa ranking,fifa_ranking,fifa_ranking.js,files/d31c4fe8ec0971d06d9feeed1f28d6202b5b08f3cadb41575efc730b9741a87d4a70f45099d7bf0bba3fac19bfe2d00046dfdd3f682b4b4a8cdabdadeff7f1c2.csv
062_popup-customise.tgz,Popup customise,popup_customise,popup_customise.js,files/ee012022bf9b15e0b8b1699f5fd431ca9b75e4bec4056086e84ec8bec7ee6ae198121fcfd210cb94de937c2410827a160568fd5b3c3ecc31d51838d44f3751f4.xlsx
063_life-expectancy.tgz,Life expectancy,life_expectancy,life_expectancy.js,files/bdd33362c0c0fd8d93e91c827b5c9b7057c4a89dfb37d96c4d2a1bdf42eb4c1658bde6edd223f87300475c241f8431ac679e991e263b69d156313f2fe5683a94.csv
064_us-masters.tgz,US Masters,us_masters,us_masters.js,files/eb445e88803a91d8d435bdc282876882ca9341edd47d784c06f4155962a691c841d4406869ca9d8ebc2a829f277fe7ec01f82ef0f736847031b8e353ff371653.csv
065_6cdd365acbb8c4c3.tgz,Deaths in non-state conflicts 2024,deaths_in_non_state_conflicts_2024,deaths_in_non_state_conflicts_2024.js,files/c7146adf160dd2b01fd81505f0a46e0bc3cdcedac8efccf65edb7d5511f4eb470d84422a3038305ad49a0c00a6e169d0b3997dad01383803a12bcd0404a1c08c.csv
066_a7f11c936e3895fb.tgz,Internally displaced people due to conflict,internally_displaced_people_due_to_conflict,internally_displaced_people_due_to_conflict.js,files/9641df2443926a553152cb57e8a36df7b13c6dadcb075edd2254989231908147f1e53a8972c459b47a82c824e02c9f29e82ece3f2e8e5883172476dd2ea85617.csv
067_08a3126ef4627c80.tgz,Relative increase in mean height,relative_increase_in_mean_height,relative_increase_in_mean_height.js,files/554d11741f07237a9274f113bd8d4a89872211ca0913e0131d2e197a4aed6ff8c6be9dd96b9e8cd3541d6acf6194c47e31adcae1d1f9a79a4760d67cadce8839.csv
068_90b85d6c1bb838c5.tgz,Lifetime anxiety or depression,lifetime_anxiety_or_depression,lifetime_anxiety_or_depression.js,files/16abe5d282343cb29522db40d3cfc031842c626f490345e37f3106254c474609c4f94eb55cc27805e717cd77bc6e2afc8e06eec70f1c83037aeb19a04f2beab1.csv
069_780072d35cb6100d.tgz,Dealt with anxiety with religion,dealt_with_anxiety_with_religion,dealt_with_anxiety_with_religion.js,files/2c6d3ee136b1a954d25940eae75a49aa81c33f3b7e887903be3010523489000cbbbcee18bcdf1f3e902b1f64c14cc9622ea9fa09132f1ffed18817cb3367a1a8.csv
070_trade-chokepoints.tgz,Trade chokepoints,trade_chokepoints,trade_chokepoints.js,files/e40096aede0cadbe9aaac15ea44644728c9130cd453c0ba480a9de3e089135308de498ac04209e244b08fd1a69588312b9f3cb2da63e0feeaa269745d9cbc266.xlsx
071_swimming-race.tgz,Swimming race,swimming_race,swimming_race.js,files/f8eb148dd88752efb0f89049e1e44b2be74aad29f8c430b92f41a40a8d9285d56ae1a3d73ee139f50ab494bc943c6c9cb2858cfacfb89dfafd9505c34861117c.csv
072_year-to-date.tgz,Year-to-date,year_to_date,year_to_date.js,files/02d517bdf81be46c30b25c0665d9fb0dd985679b44a5db1a6cafb462bddde25e9501c8be28904f51bb4f92302e9fdd7c4515b29e96a5b92fd4b0535605fbe89b.csv
073_bears-will-be-boys.tgz,Bears Will Be Boys,bears_will_be_boys,bears_will_be_boys.js,files/75b689ef0b53c8d3a7beeeb695bec49ad0fd08d103e0d716af36bf146681ed6e422883ba3e725a4021e9d24c87bb29848d35010ed213846b269d1c46a2014ef4.csv
074_456e2c8beae6ca2a.tgz,Finland Tech Job Market Top Skill Demand Tracker 2024-2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026.js,files/bc901d7579bac239b8dda28d27725ce749b832eda17d245ff0f1fa05a885db9642398384dc982af21a897d3fc3810472f9937b57592b67626db91b879088d335.csv
075_01c45e5b545d634b.tgz,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025.js,files/95d032deed4e5ff390745bb84185c17fde8b15a50b89abbc966f79ccf1621107d8306e182868abb64e5686593c6f3e82949c457a203c84bf7f498994d9833c9f.csv; files/eceb0e4dfaec117dbc7c65fec7c20a7898d19544ae24fd3ee9f091cfc79357606964564dc1b64f0b2756193d94e39c4f7552a0863dba872ecfeb2184a57f9b76.csv
076_d5d39f0d9ccdf508.tgz,"Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025",uber_usage_trends_in_pakistan_bookings_and_revenue_20242025,uber_usage_trends_in_pakistan_bookings_and_revenue_20242025.js,files/2b56d5e7521181130acba24be49cdfad0edc0a8c464572fdcfe8c88a19b4580b2b55c518d0124fa1d9e970ffbc2e4afce8ead36206c4a63443dbcf4503af8f07.csv; files/ea1d154c8c153c64469697d8025cd49be857bdd3051b2d58fe2f3967829c3db2f8a7444ab15876d6b7f84a95afa0f3fbc7f7303ebb174a7f2ecaf313be3ecb74.csv
077_28125329d1b3962c.tgz,"Dealt with anxiety or depression by taking prescribed medication, 2020",dealt_with_anxiety_or_depression_by_taking_prescribed_medication_2020,dealt_with_anxiety_or_depression_by_taking_prescribed_medication_2020.js,files/f7c9fd4a4bb8d4d83ea4d3aaa8a4b671d10fc89c0d15c624d2e3c2a756140637b86095242cef2c9dcf48d7a94d1560d875d5cb7e674c3e6eee694dbcf3e0590d.csv
078_b483888d6fc93721.tgz,Dealt with anxiety or depression by talking to friends or family,dealt_with_anxiety_or_depression_by_talking_to_friends_or_family,dealt_with_anxiety_or_depression_by_talking_to_friends_or_family.js,files/2e33ceca9f1bea8e9da86f1807202d6c391e8bec217c5c993733396e47d92486d71d440f4f8dc9adc98ad18af8f267e7312230d7a624b80644b13b331432789a.csv
079_5fe3a3feff69b81e.tgz,Mental health units in general hospitals,mental_health_units_in_general_hospitals,mental_health_units_in_general_hospitals.js,files/b845dc8853218328fe8ea263fca7348e0a93c2bf25b2e1e29bbc8954ced1e9bd76900d5a59905f94af648357cecc00f3afe424282a49cd02cfee66521738de63.csv
080_36b39a284fa96a78.tgz,Perceived discomfort speaking about anxiety or depression,perceived_discomfort_speaking_about_anxiety_or_depression,perceived_discomfort_speaking_about_anxiety_or_depression.js,files/53bc0266966413ed425ae05fce42bc02ddb6c6c791ac5fb18166b5a59afb33ef61610f264620b9dcc4d7d4e8ca1dd35307e8d01c9c28a324f89ad84417500e40.csv
081_11df2922faad3446.tgz,Perceived importance of science in treating anxiety or depression,perceived_importance_of_science_in_treating_anxiety_or_depression,perceived_importance_of_science_in_treating_anxiety_or_depression.js,files/aaa154aa78b80ec657486f00319bb8cc2b53ed72bd384207e33d001df75b5aa9e31003d51fac97174023a93d1285ac50112cd46d85754d3aa21650538b39988d.csv
082_c1b1219353b490bc.tgz,"Psychiatrists per 100,000 people",psychiatrists_per_100000_people,psychiatrists_per_100000_people.js,files/bf12f7da9219f713ffdd4104630e29f1422fe3b20647f9a87dd331b1a587d05f88bbdf5c4b00f56380154218cc12d284a797d7128bc1d979547d7bbf5a1c0a15.csv
083_f0d053d6c2a9cafd.tgz,Share who know friends or family who have been anxious or depressed,share_who_know_friends_or_family_who_have_been_anxious_or_depressed,share_who_know_friends_or_family_who_have_been_anxious_or_depressed.js,files/e7d5bba238e1d21102874a5cb8419c3c132a3d62bbdc017de5772cf4a17196928c648945331580b35a1a1345bdeb060745accadc4cb05a365ef3af8a240ff6b6.csv
084_fa5ba9840d12cf5a.tgz,Share who say it's extremely important for the national government to fund research on anxiety/depression,share_who_say_its_extremely_important_for_the_national_government_to_fund_research_on_anxietydepression,share_who_say_its_extremely_important_for_the_national_government_to_fund_research_on_anxietydepression.js,files/a336ad6c1c8f0f8ac2c8fc795c2bcf69c9a6454291919d56cf5ed1d201e1901260191ac9553c1fa8433ac8df281b60feced80f680d2b4761f7fe15e0ae3cd789.csv
085_589e6865378cd7d6.tgz,Stand-alone policy or plan for mental health,stand_alone_policy_or_plan_for_mental_health,stand_alone_policy_or_plan_for_mental_health.js,files/468f7d4bab0fc13756ba61acf457575c7829bb2ea23abb04eb72129261f6d05b560a791d29be98913e4d2a110910810180ec11340cb9e6fb6f8cedb38c5ff210.csv
086_1b755d9cc2e459c3.tgz,Share of the population born in another country,share_of_the_population_born_in_another_country,share_of_the_population_born_in_another_country.js,files/dab3a788e482314179aec592b8eebefc4268e7219cebf201c0a4dce627a29c6b3c23d90fa7e48acdc07b3c95bfcd289733b5fe361071dd2a7c6c667a6b7c5cf5.csv
087_8f55c8c4ed709bb0.tgz,Birth rate and death rate,birth_rate_and_death_rate,birth_rate_and_death_rate.js,files/e229a323f2d907eb99ecd8a510236a6e289dc460b613b31d641922f6667f002c46fec78a085b9ea4342d5c3e56e080f0313246d3af1d9f073ba027b403da0a92.csv
088_8b10efa48c889ce6.tgz,Crude birth rate and death rate sweden,crude_birth_rate_and_death_rate_sweden,crude_birth_rate_and_death_rate_sweden.js,files/2559bd8cdc87ae23f88347165cf5166e2bcda86fdd1d542bfe83c91c77870b9c3f83a85695189b02be82471ba0a046a4a642accbf5e6a77f8860e059e0c16c15.csv
089_f4b19098b5c5b8cf.tgz,"World population, comparison of UN projections",world_population_comparison_of_un_projections,world_population_comparison_of_un_projections.js,files/0c69e90ec26df4577659e8d1cec8bd5a51c22ab2e1d9ac51ebf313690ddde3dc9b5c9888408e4bb6b0ad19f1c1dac8883a1046301614dd620625def87532173c.csv
