Entity,Code,Year,Labor force dependency ratio,Age dependency ratio,Labor force dependency ratio – higher participation
Luxembourg,LUX,2035,98.0612,133.02661,93.38392599999999
Luxembourg,LUX,2040,108.19351999999999,138.4857,89.674693
Luxembourg,LUX,2045,109.24168999999999,146.00781,88.161147
Luxembourg,LUX,2050,108.91805000000001,150.25897,87.36619
Luxembourg,LUX,2055,111.0377,156.12955,95.133835
Luxembourg,LUX,2060,115.52770000000001,169.21744,98.43706
Montenegro,MNE,2015,100,100,100
Montenegro,MNE,2020,89.96347999999999,110.64453,94.98459700000001
Montenegro,MNE,2025,85.225,118.67734000000002,91.050774
Montenegro,MNE,2030,79.59186,119.15361,86.60735000000001
Montenegro,MNE,2035,75.771236,116.21999000000001,81.83798
Montenegro,MNE,2040,72.739184,111.02456999999998,73.93673
Montenegro,MNE,2045,70.87283,111.71291000000001,73.0733
Montenegro,MNE,2050,72.62351,114.54269,73.06521000000001
Montenegro,MNE,2055,73.972946,127.76955000000001,78.30154
Montenegro,MNE,2060,80.301327,139.03843,80.5187
Netherlands,NLD,2015,100,100,100
Netherlands,NLD,2020,100.41392,105.60316999999999,101.81215999999999
Netherlands,NLD,2025,104.46786999999999,115.21136999999999,105.71533
Netherlands,NLD,2030,110.68336000000001,127.61108000000002,111.86616000000001
Netherlands,NLD,2035,116.74708,138.52705999999998,117.07158
Netherlands,NLD,2040,121.00782000000001,144.262,117.71516
Netherlands,NLD,2045,121.69206,143.03024,117.63015999999999
Netherlands,NLD,2050,121.94940999999999,143.34619,117.14666
Netherlands,NLD,2055,122.84584999999998,146.40878,117.94515999999999
Netherlands,NLD,2060,125.51926,152.05508,121.35692
Poland,POL,2015,100,100,100
Poland,POL,2020,97.13555000000001,116.91992,96.25266
Poland,POL,2025,99.84959,132.06939,95.18918
Poland,POL,2030,101.29017,139.35156,92.058504
Poland,POL,2035,102.99824,141.26452,87.923664
Poland,POL,2040,105.01833,146.65445,85.442275
Poland,POL,2045,108.92347,159.71864,84.53637
Poland,POL,2050,114.85428,177.96093,85.70047600000001
Poland,POL,2055,121.33796,193.35016000000002,91.30756
Poland,POL,2060,125.60166,201.67190000000002,96.81472
Portugal,PRT,2015,100,100,100
Portugal,PRT,2020,98.35406,105.26038,100.53611000000001
Portugal,PRT,2025,100.30829999999999,112.76929,101.30367
Portugal,PRT,2030,104.20095,124.63826,102.53018
Portugal,PRT,2035,111.42738000000001,139.15988,105.7377
Portugal,PRT,2040,121.14674000000001,156.85174,111.53067000000001
Portugal,PRT,2045,130.38936999999999,175.97125,115.92643
Portugal,PRT,2050,135.28645,187.18066,117.46707
Portugal,PRT,2055,138.8546,190.77293,121.0096
Portugal,PRT,2060,139.21261,192.7097,121.43352
Romania,ROU,2015,100,100,100
Romania,ROU,2020,99.40092,109.0212,97.68312999999999
Romania,ROU,2025,98.17325,115.46247000000001,92.04664
Romania,ROU,2030,99.77093,115.6624,87.132037
Romania,ROU,2035,103.86181,125.73228,85.396326
Romania,ROU,2040,107.47352,138.72929,84.666556
Romania,ROU,2045,111.64418,154.65713,83.899647
Romania,ROU,2050,116.4345,165.04977,83.65743
Romania,ROU,2055,119.96372,174.95016,86.58837700000001
Romania,ROU,2060,121.95773999999999,175.42613,88.328415
Slovakia,SVK,2015,100,100,100
Slovakia,SVK,2020,95.46735,115.32332000000001,96.799874
Slovakia,SVK,2025,97.67672400000001,127.65574,96.914095
Slovakia,SVK,2030,98.617446,135.45202,94.339585
Slovakia,SVK,2035,101.75848,137.94876,92.527634
Slovakia,SVK,2040,106.60592,146.0951,90.29023600000001
Slovakia,SVK,2045,114.55996999999999,164.16,90.26688299999999
Slovakia,SVK,2050,123.07284,184.35566,92.039174
Slovakia,SVK,2055,132.00727999999998,203.77874,99.61417999999999
Slovakia,SVK,2060,136.32826,214.13932,105.99439
Slovenia,SVN,2015,100,100,100
Slovenia,SVN,2020,102.53232000000001,117.07805,102.6512
Slovenia,SVN,2025,109.43861,129.36034999999998,105.45532
Slovenia,SVN,2030,116.00285,138.93989,106.57366999999999
Slovenia,SVN,2035,121.68622,145.47032,104.17677
Slovenia,SVN,2040,127.12334000000001,154.6755,102.52479000000001
Slovenia,SVN,2045,135.06495,169.7721,101.43702000000002
Slovenia,SVN,2050,138.69518,185.99494,101.11726999999999
Slovenia,SVN,2055,141.53183,192.9291,106.47259
Slovenia,SVN,2060,139.27536,190.05692000000002,107.32714999999999
Spain,ESP,2015,100,100,100
Spain,ESP,2020,101.97031000000001,105.48280000000001,99.92223
Spain,ESP,2025,106.11039,110.44235,100.02397
Spain,ESP,2030,110.95862000000001,120.77712000000001,99.714726
Spain,ESP,2035,120.12879999999998,135.50494,101.93301
Spain,ESP,2040,131.69864,157.32547,106.76678
Spain,ESP,2045,145.64776,183.87554,113.62646000000001
Spain,ESP,2050,154.92018000000002,201.09097999999997,117.47699
Spain,ESP,2055,159.00954000000002,206.51677,122.25677999999999
Spain,ESP,2060,158.84391,203.76371999999998,122.05203
Sweden,SWE,2015,100,100,100
Sweden,SWE,2020,97.042346,105.04271999999999,100.47312
Sweden,SWE,2025,97.66428499999999,108.34414000000001,103.0629
Sweden,SWE,2030,98.217595,110.83201,104.98604
Sweden,SWE,2035,98.00147,112.84367,105.53516
Sweden,SWE,2040,98.245907,112.90581,104.61749
Sweden,SWE,2045,98.25627,113.73671999999999,105.06499000000001
Sweden,SWE,2050,99.89994,116.10153999999999,106.44525
Sweden,SWE,2055,102.48542,120.91196,110.13091
Sweden,SWE,2060,105.44178,126.78643000000001,113.92999999999999
United Kingdom,GBR,2015,100,100,100
United Kingdom,GBR,2020,101.05295000000001,105.88747999999998,99.03672
United Kingdom,GBR,2025,104.76186999999999,110.87043000000001,100.27543999999999
United Kingdom,GBR,2030,107.53179,117.35983999999999,99.951506
United Kingdom,GBR,2035,109.01814,122.47400999999999,99.127173
United Kingdom,GBR,2040,110.15946000000001,124.13076000000001,97.87674
United Kingdom,GBR,2045,111.53034,125.55114,97.14769
United Kingdom,GBR,2050,113.69617000000001,129.95726000000002,97.447497
United Kingdom,GBR,2055,115.99235999999999,135.3788,100.20316
United Kingdom,GBR,2060,118.13067,140.58870000000002,102.18554
