Entity,Code,Year,Amphenicols,Beta-lactamase resistant penicillins,Carbapenems,Combinations of penicillins,First-generation cephalosporins,Glycopeptides,Intermediate-acting sulfonamides,Long-acting sulfonamides,Nitrofuran derivatives,Other aminoglycosides,Other cephalosporins and penems,Penicillins with extended spectrum,Second-generation cephalosporins,Steroid antibiotics,Tetracyclines,Trimethoprim and derivatives,Third-generation cephalosporins,Streptogramins,Short-acting sulfonamides,Polymyxins,Other quinolones,Beta-lactamase sensitive penicillins,Combinations of antibiotics,Combinations of sulfonamides and trimethoprim,Fluoroquinolones,Imidazole derivatives,Lincosamides,Macrolides,Nitroimidazole,Other antibiotics
Belarus,BLR,2018,0.06991271,,,2.5573027,0.11693516,,,,1.3039801,,,4.296169,0.5674172,,2.2889528,,0.15654086,,,,0.008867201,,0.14843944,0.17315908,1.5808998,,0.02862173,2.8111796,0.6052817,0.23888035
Belarus,BLR,2019,0.06286464,,,3.8113265,0.095111884,,,,1.5910759,,,4.6037197,0.86056656,,3.7760143,,0.19958486,,,,0.003440952,,0.11414332,0.12119657,1.5968845,,0.018320309,2.942811,0.6649214,0.18361232
Belarus,BLR,2020,0.05510361,,,3.9150922,0.08907158,,,,1.2791252,,,3.8094015,1.0502443,,2.1848202,,0.35636085,,,,,,0.057740845,0.08665037,2.3715029,,0.033138797,7.192525,0.5520427,0.16060677
Belarus,BLR,2021,0.04190085,,,3.7713592,0.037042364,,,,1.8458318,,,3.396505,1.0061316,,3.2118828,,0.115380846,,,,,,0.001098388,0.08742771,1.5023097,,0.018822536,2.8914468,0.2383009,0.105272286
Belarus,BLR,2022,0.044268765,,,4.122844,0.05859266,,,,1.9802448,,,3.059233,0.76326406,,1.2821301,,0.095992915,,,,,,0.06148828,0.09279057,0.96963984,,0.02250696,1.672646,0.44123626,0.116238646
Belgium,BEL,2016,,0.2639831,,5.135023,0.07269043,,,,2.633425,,,5.0395346,1.2860636,,2.0078924,7.26e-7,,,,,,0.026652683,,0.23570405,2.5616314,,0.39723793,3.2963939,0.1512485,0.17064176
Belgium,BEL,2017,,0.2581157,,4.935242,0.046453178,,,,2.380178,,,4.752374,1.1639582,,1.9248145,,,,,,,0.017129948,,0.21620208,2.3176982,,0.39766565,3.0814207,0.15044257,0.1762993
Belgium,BEL,2018,,0.26758277,,5.216631,0.050396223,,,,2.3480597,,,4.7894745,1.2324691,,1.87933,,,,,,,0.022447493,,0.24291828,1.2927935,,0.42078787,3.2011242,0.14917806,0.18978088
Belgium,BEL,2019,,0.27411547,,4.860666,0.029971411,,,,2.4366693,,,4.82959,1.206183,,1.8671268,,,,,,,0.01113173,,0.25173494,0.6955219,,0.43645385,3.1328719,0.15172486,0.1968876
Belgium,BEL,2020,,0.26863986,,3.7132928,0.022081766,,,,2.3404365,,,3.1397724,0.8099007,,1.63726,,,0.00000479,,,,0.00000651,,0.25684988,0.5652551,,0.39049235,2.3233619,0.13159636,0.1903856
Belgium,BEL,2021,,0.28197128,,3.86757,0.02839577,,,,2.358999,,,3.4821153,0.7994989,,1.8140666,,,,,,,,,0.27449808,0.5495631,,0.38072497,2.3242898,0.1436278,0.19845787
Belgium,BEL,2022,,0.3198047,,4.664478,0.031489637,,,,2.3875842,,,4.800947,0.95426476,,1.7313516,,,,,,,0.005442406,,0.2902902,0.5814813,,0.4031755,3.0230591,0.150375,0.2014148
Benin,BEN,2016,0.02275602,0.98117024,,0.3432378,0.03288109,,,,0.000220989,,,8.022824,0.009875592,0.000856057,2.2115028,,0.11173343,0.000312901,,,,0.27759194,0.05880034,2.6044087,2.9721794,,0.03831978,0.60144854,2.3064451,0.001752584
Benin,BEN,2017,0.017288458,1.1776776,,0.38127774,0.032453388,,,,0.000198449,,,8.662731,0.009234024,0.000916646,2.5447588,,0.16633937,0.000261764,,,,0.27287218,0.08941417,2.880439,3.0480335,,0.04311109,0.6188213,2.0425293,0.00171304
Benin,BEN,2018,0.016976573,1.0801202,,0.39653358,0.02625478,,,,0.00105143,,,8.817625,0.009141076,0.00072734,2.0852778,,0.18868083,0.000196864,,,,0.30192882,0.06549766,3.23044,3.1300054,,0.040488824,0.55026716,1.7973168,0.001936513
Benin,BEN,2019,0.036685813,0.7692784,,0.6300123,0.010962688,,,,0.002018775,,,6.920565,0.007022719,0.001275446,1.5462902,,0.32008606,0.001269279,,,,0.17497277,0.10986182,2.1634705,2.234941,,0.09865568,0.6116342,1.4840602,0.0054048
Benin,BEN,2020,0.033094607,0.6820351,,0.52629113,0.00317071,,,,0.0000379,,,5.6035314,0.004150396,0.000591583,1.0361351,,0.31549004,0.001043612,,,,0.17086554,0.10632597,0.9568703,1.8426214,,0.07957846,0.5331336,1.4080923,0.009795781
Benin,BEN,2021,0.007113747,0.47202247,,0.512549,0.014610761,,0.000295118,,0.000989383,,,6.402105,0.0955067,0.001395135,2.4249063,,0.32979837,0.003145114,,,,0.00634767,0.5760145,1.049994,1.4216465,,0.0487728,2.1259763,1.0623636,0.004144281
Benin,BEN,2022,0.025491025,0.43617234,,0.9669493,0.062079564,,,,0.003317744,,,10.749009,0.005861143,0.005107588,1.9080913,,0.43585882,0.000841234,,,,0.10807392,0.16188388,1.3591255,2.098598,,0.07698429,0.99408644,1.5497527,0.001275186
Bhutan,BTN,2019,,0.70838374,,,,,,,0.54065627,,,5.0256815,,,2.106935,,0.03391373,,,,,,,0.98338395,0.6808271,,,0.4605663,0.73597795,
Bhutan,BTN,2020,,0.6413427,,,0.030145619,,,,0.33958152,,,3.2727005,,,2.0115993,,,,,,,,,0.85719174,0.59496814,,,0.4012027,0.8288272,
Bhutan,BTN,2021,,0.7503549,,,0.03849781,,,,0.42638305,,,3.2967632,,,2.6226082,,0.00528574,,,,,0.36588335,,0.59736353,0.5602885,,,0.5010001,,
Bhutan,BTN,2022,0.70427555,0.79285926,,,0.120843746,,,,0.6222074,,,4.6776857,,,3.1628585,,0.021183765,,,,,0.08473506,,1.0575163,0.74913496,,,0.28221676,,
Burkina Faso,BFA,2017,0.007019712,0.3362579,,0.3348412,0.73118275,,0.006238414,,0.001648944,,,6.7982802,0.005357221,0.00107135,0.9815779,,0.13731726,0.000241986,,,,0.32047638,0.07601415,7.202716,0.28430375,,0.07971294,1.4910933,,0.0000971
Burkina Faso,BFA,2018,0.0648189,0.5094366,,0.805543,0.82563525,,0.001253917,,,,,6.5362234,0.011499536,0.00231997,1.2272669,,0.23727274,0.000279444,,,0.00010412,0.30999827,0.11984649,7.098851,0.86798024,,0.13731088,1.7926912,,0.000137035
Canada,CAN,2022,,0.03623968,,1.2280515,1.0027151,,,,0.8010282,,,3.0094528,0.33181763,0.0000217,3.4680626,0.036007416,0.14916816,,,,,0.19631407,,0.64437675,1.042196,,0.26203322,1.5028021,0.26077837,0.1528922
Colombia,COL,2018,,0.5661007,,0.24166809,1.8424788,,0.000415599,,1.0198609,,,4.483047,0.042270888,,1.3196476,,0.00140314,,0.005911234,,0.003176606,0.005853134,,0.9262533,3.343884,,0.07552899,1.9729606,1.3187339,0.012322522
Colombia,COL,2019,,0.7480095,,0.21629938,0.6133149,,0.000204712,,0.46800804,,,5.728722,0.042171143,,1.6559396,,0.001520001,,0.005131998,,0.008613742,,,0.9255105,1.9730024,,0.14018562,1.7581775,0.67719096,0.014763677
Colombia,COL,2020,,0.4598698,,0.23737569,1.2109694,,0.000201725,,0.6699277,,,4.4575686,0.034981754,,1.6770235,,0.00099141,,0.00406166,,0.011708102,0.00474591,,0.78162134,1.7309188,,0.10021048,3.5602174,1.2181473,0.014956407
Colombia,COL,2021,0.037886474,0.49436533,,0.3759419,1.4071509,,0.00019943,,0.7318572,,,5.6439986,0.050924014,,1.9366404,,0.001429358,,,,0.007840543,0.00797105,,0.91910416,2.2694604,,0.1173422,3.9075859,1.5655409,0.024156827
Colombia,COL,2022,0.035361398,0.34650955,,0.32039663,0.6732389,,0.000835797,,0.5512784,,,3.5905108,0.07294485,,0.8708955,,0.002626173,,0.00000396,,0.01008872,0.007271251,,0.31739676,1.1816306,,0.17055377,2.5907319,0.45610157,0.02436493
Cote d'Ivoire,CIV,2021,,0.22451054,,1.3461374,0.022440689,,,,,,,3.913161,0.013968139,,0.71090907,,0.76701844,0.000802827,,,,0.016793108,0.10840483,6.2424207,0.9146297,,0.002864549,1.2577953,0.749322,0.001005428
Cote d'Ivoire,CIV,2022,0.000451423,0.6563219,,1.7213247,0.019610217,,,,,,,3.1861029,0.014501006,,0.9497802,,1.1426915,,,,,,0.110519074,4.9917145,1.0020955,,0.002207824,0.95468396,3.267462,0.001551963
Croatia,HRV,2016,,0.00639121,,5.511593,0.6171952,,0.000324324,,0.90086657,,,2.157316,1.8402655,,1.0742344,,0.22085212,,,,,0.5620403,,0.64067495,1.6440808,,0.3522245,2.4958844,0.28536326,0.007413869
Croatia,HRV,2017,,0.009966669,,5.6776843,0.49476445,,0.0000436,,0.708672,,,2.025245,1.8366166,,1.053721,,0.34922433,,,,,0.52202445,,0.6004803,1.6781846,,0.36491776,2.5413005,0.31300917,0.055738
Croatia,HRV,2018,,0.009501657,,5.915387,0.4035882,,0.000367614,,0.79999876,,,1.8874638,1.9006577,,1.0418503,,0.4372206,,,,,0.47845083,,0.53917104,1.676083,,0.37933427,2.6414852,0.32862794,0.0859423
Croatia,HRV,2019,,0.014633881,,6.127416,0.3669939,,0.000298591,,0.8804208,,,1.8226562,1.9008057,,0.99985045,0.00000498,0.5252838,,,,,0.4744937,,0.5395017,1.5568024,,0.41037843,2.6006591,0.34343913,0.09674083
Croatia,HRV,2020,,0.013811943,,5.1181107,0.28412142,,,,0.8790515,,,1.2482407,1.5382506,,0.85602957,0.0000585,0.48136425,,,,,0.2580966,,0.48801753,1.3888471,,0.40807983,2.2767317,0.312453,0.090880744
Croatia,HRV,2021,,0.014911105,,5.351458,0.28378972,,0.000292914,,0.9318102,,,1.2283623,1.4861736,,0.9613761,0.00000843,0.6001366,,,,,0.20217977,,0.4860355,1.4951425,,0.4217616,2.6320584,0.33797172,0.092468165
Croatia,HRV,2022,,0.015807256,,5.788555,0.3503414,,0.000711495,,1.0201254,,,1.7056704,1.6420238,,0.92833817,0.0000255,0.7438941,,,,,0.24290638,,0.49865258,1.575072,,0.51054436,3.0963213,0.33980492,0.10029198
Cyprus,CYP,2016,,0.006732578,,6.40628,0.21528547,,0.003704529,,0.44512326,,,2.087183,3.6636531,,3.8294227,0.002585117,0.7762308,,,,,0.07570929,,,6.8707747,,0.080185324,2.6493456,0.54457796,0.000805332
Cyprus,CYP,2017,,0.011023704,,7.108149,0.23443532,,0.008035623,,0.46155876,,,1.9995472,4.179277,,3.4875233,0.002977438,0.8278906,,,,,0.05710614,,0.26934716,6.0477624,,0.075494416,2.7534227,0.5508748,0.001947707
Cyprus,CYP,2018,,0.010265622,,6.836149,0.1810612,,0.002242554,,0.42170575,,,1.8191358,4.2583494,,3.7988486,0.003158044,0.8787499,,,,,0.052594494,,0.24632111,5.1507497,,0.11405051,2.8643951,0.09655542,0.003023491
Cyprus,CYP,2019,,0.009328413,,7.9353223,0.13032684,,0.001011546,,0.49163446,,,1.4723163,4.6240907,,3.7379656,0.003607502,0.9871923,,,,,0.045968562,,0.17402406,5.6037564,,0.12165799,2.9586189,0.57963306,0.002591825
Cyprus,CYP,2020,,0.007202712,,6.6043744,0.09480983,,0.001332412,,0.38059837,,,1.264088,4.5574164,,3.3255298,0.001806443,0.9223253,,,,,0.20455088,,0.26810384,7.1919346,,0.08236766,2.4717166,0.58163106,0.003471451
Cyprus,CYP,2021,,0.010558989,,5.9463954,0.09317753,,0.002105171,,0.4851553,,,1.1184709,3.51158,,3.8685734,0.002454334,0.921802,,,,,0.062046483,,0.18447264,4.5825996,,0.12360668,2.59582,0.55457854,0.005076878
Cyprus,CYP,2022,,0.011037072,,8.119675,0.06952139,,,,0.677959,,,1.1780225,4.625894,,1.5651405,,1.1771357,,,,,0.051688768,,0.191741,4.1076865,,0.14746502,3.6151884,0.4484849,0.007859733
Czechia,CZE,2019,,,,3.168066,0.026977673,,,,0.9697376,,,0.8369446,2.1905794,,2.0115042,0.03651444,0.000179409,,,,,1.5680188,,0.85377866,0.63310456,,0.38165003,3.1932716,0.11896191,0.019992938
Czechia,CZE,2020,,0.000271606,,2.6746156,0.023248881,,,,0.8781354,,,0.5267744,1.5335722,,1.839821,0.023178378,0.00150112,,,,,0.89015,,0.75418574,0.5401263,,0.3549453,2.361201,0.10810922,0.01942558
Czechia,CZE,2021,,0.09713238,,0.22333819,0.07284923,0.03448014,,,1.0553539,0.0322751,,0.53340524,0.2408542,,1.5485436,,0.11571992,,,0.007760795,,0.78219515,,,0.10980694,,0.04470799,0.9076283,0.10453028,0.004156214
Czechia,CZE,2022,,0.016911441,,3.561938,0.027286068,,,,1.0450522,,,0.7487271,2.0987992,,1.7641983,0.011719428,0.003161627,,,,,1.2048992,,0.86693716,0.5907413,,0.4291051,3.4950862,0.11334968,0.028380496
Denmark,DNK,2016,,1.5679882,,1.0655096,0.004363892,,,,0.4329645,,,3.5967653,0.021484848,0.008476225,1.6506141,0.5644287,,,0.16523255,,,4.177155,,0.10231623,0.59239936,,0.0656154,1.8275411,0.31587973,0.004940943
Denmark,DNK,2017,,1.660985,,0.91213065,0.004137799,,,,0.2708657,,,3.6607099,0.021471666,0.006545824,1.4680344,0.5697783,,,0.1510072,,,3.9401238,,0.10472232,0.5526457,,0.0664543,1.6679864,0.28830063,0.005152086
Denmark,DNK,2018,,1.7111504,,0.7834236,0.003945667,,,,0.16101198,,,3.663074,0.02153465,0.005964506,1.445926,0.54107356,,,0.13972288,,,3.6706495,,0.110210255,0.52192247,,0.067223385,1.5226938,0.27368382,0.007674212
Denmark,DNK,2019,,1.7353706,,0.7542436,0.00286694,,,,0.27359638,,,3.5716166,0.018399945,0.004823614,1.5400798,0.46021998,,,0.13256012,,,3.499157,,0.11988917,0.47123283,,0.070936695,1.4882272,0.271538,0.008103541
Denmark,DNK,2020,,1.6818838,,0.6353979,0.002419629,,,,0.27518696,,,3.475975,0.018836426,0.003912165,1.7374551,0.4406899,,,0.111614645,,,2.8779225,,0.12024827,0.4190239,,0.07489446,1.2212459,0.26824147,0.006606133
Denmark,DNK,2021,,1.7101257,,0.66973865,0.002592665,,0.001520968,,0.28496546,,,3.4702823,0.016748896,0.00330401,1.6885232,0.4262273,,,0.09574306,,,2.9910417,,0.13068832,0.39828163,,0.08047242,1.1692301,0.2733163,0.007365692
Denmark,DNK,2022,,1.8228879,,0.7584371,0.002682782,,0.00593845,,0.27760974,,,3.564897,0.013013356,0.00283493,1.7475317,0.39925444,,,0.08645435,,,3.3404133,,0.13727717,0.42431214,,0.080329634,1.2225044,0.2743498,0.008279394
East Timor,TLS,2016,0.001234378,0.89562196,,0.06537148,,,,,,,,2.1687472,0.000128581,,0.5490413,,0.014462801,,,,,0.04161527,,1.5364733,0.56961423,,,0.40999368,0.4667185,
East Timor,TLS,2017,0.009262325,0.5606124,,0.07021383,,,,,,,,4.115926,0.012664984,,0.44175467,,0.012285035,,,,,0.026913092,,1.34137,0.5534598,,,0.4118558,0.41814205,
East Timor,TLS,2018,0.001197907,0.8691595,,0.06343999,,,,,,,,2.1046686,0.000124782,,0.53281903,,0.014035477,,,,,0.04038569,,1.491076,0.5527842,,,0.39787984,0.45292863,
East Timor,TLS,2019,0.008993209,0.5443238,,0.06817377,,,,,,,,3.996338,0.012297005,,0.42891952,,0.011928094,,,,,0.026131134,,1.3023967,0.5373791,,,0.39988935,0.40599298,
Egypt,EGY,2020,0.010791564,,,7.3818545,1.7788143,,,,,,,1.2986072,0.102221616,,1.3133764,0.0000414,0.37422782,,,,,0.004570772,0.055527363,1.0566622,4.1317396,,0.20457095,5.9927616,2.4668229,0.35334545
Egypt,EGY,2021,0.005702157,,,8.062727,1.3638047,,,,0.50735575,,,1.4077712,0.10489366,0.0000115,1.3578639,,0.4824434,,,,,0.010414955,0.11955785,0.8639915,4.5590916,,0.19349405,6.451538,2.720128,0.35822818
Egypt,EGY,2022,0.006044511,,,13.636006,1.9278406,,,,0.7055092,,,2.2777908,0.11834178,0.00000637,1.3958676,,1.6459613,,,,,0.006033489,0.14042546,2.1045275,5.1202083,,0.23633225,11.248335,3.1743684,0.43224826
Estonia,EST,2016,,0.0000208,,1.6355265,0.15622105,,,,0.5864093,,,1.6978533,1.1171341,0.000138798,1.6021063,0.02537408,,,,,,0.17278484,,0.41912514,0.9486252,,0.18353033,2.2004519,0.002664509,0.005678505
Estonia,EST,2017,,0.0000936,,1.8244987,0.17608142,,,,0.5654855,,,1.6368896,1.1364627,0.000242598,1.3170948,0.025327226,,,,,,0.17057513,,0.43231475,0.9470782,,0.16283037,2.2363164,0.23990904,0.009404153
Estonia,EST,2018,,,,2.0817497,0.17514777,,0.000362631,,0.5791945,,,1.6395694,1.1060468,0.000138145,1.2738497,0.022441689,0.0000104,,,,,0.16225713,,0.4562418,0.8225956,,0.16199873,2.3019626,0.19013646,0.009878197
Estonia,EST,2019,,0.000144518,,2.0930898,0.174145,,,,0.58213854,,,1.6725601,1.1161795,0.000206454,1.3820603,0.022869948,,,,,,0.13828129,,0.42390698,0.73880625,,0.16438699,2.302621,0.20062402,0.01860564
Estonia,EST,2020,,0.000247297,,1.9261984,0.13839856,,,,0.4693743,,,1.3135687,0.98279935,,1.3885903,0.041762233,,,,,,0.105399095,,0.2906818,0.8470262,,0.15555787,1.7926503,0.18789624,0.02119745
Estonia,EST,2021,,0.000123717,,2.0018072,0.13131063,,,,0.57138926,,,1.288161,0.8893391,,1.332757,0.029537551,,,,,,0.07384883,,0.32975766,0.67351085,,0.15432933,1.6917275,0.17508975,0.015357466
Estonia,EST,2022,,,,2.6794853,0.1465904,,,,0.60254717,,,1.6418949,1.1382055,,1.5527201,0.030293677,,,,,,0.1315542,,0.390759,0.691672,,0.19208619,2.2353637,0.18801355,0.015726887
Ethiopia,ETH,2020,0.017554037,0.31174356,,,0.20305505,,,,,,,2.7889369,0.02304302,,0.6489402,,0.051030297,,,,,,,0.29084957,2.6638505,,,0.6540048,1.576209,
Ethiopia,ETH,2021,,0.39728254,,,0.56235224,,,,,,,3.281003,0.013298507,,1.0069939,,0.36102733,,,,,,,0.62448657,2.5051107,,0.000359642,0.50576836,1.7003254,
Ethiopia,ETH,2022,0.002723011,0.232332,,,0.17431939,,,,,,,3.3368945,0.000467486,,1.4735779,,0.28296944,,,,,,,0.49128374,2.4662569,,,0.15153901,1.7091858,
Finland,FIN,2016,,0.05944395,,0.88341016,2.148878,,,,0.48987415,,,2.9117317,0.040294014,0.002087327,3.8977056,0.84154534,,,,,,1.2140709,,0.35210526,0.96748435,,0.2563369,0.7640235,0.37937906,0.007618079
Finland,FIN,2017,,0.061793976,,0.80296856,2.0262256,,,,0.45959938,,,2.688689,0.030468004,0.001541927,3.4418232,0.77429265,,,,,,1.1565654,,0.32839847,0.8632763,,0.24854548,0.5977787,0.33233464,0.007197318
Finland,FIN,2018,,0.07845008,,0.78350216,2.0022738,,,,0.35048547,,,2.6759877,0.026018515,0.001187199,3.2001362,0.7428899,,,,,,1.1778257,,0.3190095,0.8001251,,0.2529939,0.55121166,0.31602818,0.007576211
Finland,FIN,2019,,0.1021678,,0.7871872,1.8575919,,,,0.27002233,,,2.6409037,0.024862047,0.001113118,3.152406,0.7771931,,,,,,1.1399418,,0.3806083,0.61114806,,0.24268034,0.48945636,0.3066853,0.00792662
Finland,FIN,2020,,0.10324757,,0.53463054,1.5679595,,,,0.31261337,,,1.8190584,0.014223668,0.000130463,2.488572,0.6984272,,,,,,0.92079836,,0.3325139,0.5286161,,0.21536492,0.31409502,0.264751,0.007652647
Finland,FIN,2021,,0.12158047,,0.5220475,1.5173786,,,,0.31678438,,,1.7740036,0.012448055,,2.310035,0.67809147,,,,,,0.8116172,,0.34227508,0.47606817,,0.204148,0.26419717,0.2569855,0.007131414
Finland,FIN,2022,,0.18277037,,0.7295756,1.5020825,,,,0.3168758,,,2.2821112,0.002003074,,2.5803173,0.64718586,,,,,,0.8556581,,0.33761162,0.5106766,,0.21096249,0.34510913,0.24455222,0.00725138
France,FRA,2016,0.000128096,0.18930516,0.005026916,5.2602406,0.028057475,,0.023505734,,0.21018599,0.004126068,,8.412678,0.43784916,0.06692844,3.2909863,,1.4052017,0.90103716,0.001755533,,0.004398432,0.18904777,,0.42750418,1.7048955,,0.11256088,2.0801494,0.33312753,0.18383117
France,FRA,2017,0.000125118,0.15744658,0.007900474,4.82515,0.018461714,,0.021846125,,0.2419973,0.00366442,,8.436321,0.34846422,0.055171758,3.0599937,0.000161184,1.1519716,1.0448631,0.001411248,,0.003630274,0.17579119,,0.4368045,1.5444338,,0.111709,2.0022655,0.3266449,0.216475
France,FRA,2018,0.0000608,0.1354087,,4.8507943,0.015723588,,0.010077955,,0.17966191,0.003296424,,8.824001,0.2864764,0.048912216,3.191346,0.001094698,1.0169958,0.9891842,0.000994457,,0.002221967,0.17642713,0.63546467,0.45132113,1.4973574,,0.11769731,1.889954,0.32873544,0.22416815
France,FRA,2019,,0.11307137,,4.7458043,0.014754839,,0.018315388,,0.17659551,,,9.000333,0.26341277,0.04429538,3.2565577,0.002328679,0.9243825,1.0007794,0.001023092,,,0.1859011,0.59184,0.4530064,1.3572739,,0.16858889,1.7691879,0.34276748,0.24397656
