Name,Row Labels,Region,Region,Region,Picture,17/01/2013,14/02/2013,14/03/2013,11/04/2013,09/05/2013,06/06/2013,04/07/2013,08/08/2013,12/09/2013,17/10/2013,28/11/2013,19/12/2013,16/01/2014,13/02/2014,13/03/2014,10/04/2014,08/05/2014,05/06/2014,17/07/2014,14/08/2014,18/09/2014,23/10/2014,27/11/2014,18/12/2014,08/01/2015,12/02/2015,12/03/2015,09/04/2015,07/05/2015,04/06/2015,09/07/2015,06/08/2015,03/09/2015,01/10/2015,05/11/2015,03/12/2015,07/01/2016,04/02/2016,03/03/2016,07/04/2016,05/05/2016,02/06/2016,14/07/2016,11/08/2016,15/09/2016,20/10/2016,24/11/2016,22/12/2016,12/01/2017,09/02/2017,09/03/2017,06/04/2017,04/05/2017,01/06/2017,06/07/2017,10/08/2017,14/09/2017,16/10/2017,23/11/2017,21/12/2017,18/01/2018,15/02/2018,15/03/2018,12/04/2018,17/05/2018,07/06/2018,01/07/2018,16/08/2018,20/09/2018,25/10/2018,29/11/2018,20/12/2018,07/02/2019,04/04/2019,14/06/2019,25/07/2019,19/09/2019,24/10/2019,28/11/2019,19/12/2019,20/02/2020,09/04/2020,11/06/2020,16/07/2020,17/09/2020,22/10/2020,26/11/2020,10/12/2020,18/02/2021,07/04/2021,27/05/2021,12/08/2021,16/09/2021,21/10/2021,19/11/2021,23/12/2021,10/02/2022,31/03/2022,23/06/2022,25/08/2022,06/10/2022,22/12/2022,06/04/2023,29/06/2023,20/07/2023
Greece,Greece,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/gr.svg,1033,1020,1033,986,986,1006,1038,1038,1016,983,1055,1055,1055,1084,1038,1082,1082,1064,1091,1092,1052,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Hungary,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/hu.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,945,945,951,925,925,886,915,915,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Iceland,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/is.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,,,,,927,927,,,,,959,1017,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Italy,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/it.svg,1165,1157,1173,1117,1117,1097,1142,1142,1199,1136,1120,1120,1120,1135,1112,1115,1115,1104,1056,1069,1068,1064,1103,1103,1103,1112,1146,1085,1085,1101,1001,1001,1012,962,1040,991,991,991,999,959,959,982,1155,1155,1124,1082,1083,1083,1083,1087,1095,1165,1165,1193,1059,1059,1035,1066,1052,1052,1052,1052,1062,947,947,951,2009,,1526,1533,1539,1539,1539,1550,1569,1569,1583,1593,1607,1607,1607,1607,1607,1607,1612,1612,1625,1625,1625,1642.06,1642.06,1744.67,1735.73,1750.52,1740.77,1740.77,1740.77,1723.31,1713.86,1713.86,1726.14,1723.56,1713.66,1726.58,1726.58
Netherlands,Netherlands,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/nl.svg,1124,1108,1106,1093,1093,1158,1180,1165,1058,1136,1106,1106,1106,1122,1077,967,967,981,1496,1507,1456,1375,1374,1374,1374,1385,1415,1301,1301,1378,1204,1032,1054,1004,976,994,994,994,997,931,931,959,,,,901,,,,,,,,,,,,931,952,952,,,,969,969,981,1959,1540,1540,1550,1560,1560,1560,1554,1569,1569,1586,1602,1604,1604,1604,1604,1604,1604,1603,1596,1609,1609,1609,1598.04,1598.04,1637.48,1648.2,1652.01,1653.73,1653.73,1653.73,1658.66,1679.41,1679.41,1694.51,1740.92,1731.23,1731.23,1731.23
Northern Ireland,Northern Ireland,Europe,UEFA,Europe,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Poland,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/pl.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,1011,984,1029,1089,1087,1087,1101,1121,1183,1183,1198,1319,1319,1250,1323,1209,1209,1209,1213,1228,1118,1128,1183,2023,1538,1537,,1518,1518,1518,1535,1550,1550,,,1559,1559,1559,1559,1559,1559,1558,1568,1559,1559,1559,,,,,,,,,,,,,,,,
Portugal,Portugal,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/pt.svg,1144,1129,1133,1163,1163,1137,1099,1099,1029,1036,1172,1172,1172,1219,1199,1245,1245,1189,1148,1152,1150,1175,1160,1160,1160,1189,1191,1221,1221,1229,1177,1177,1186,1235,1364,1219,1219,1219,1234,1184,1184,1181,1266,1266,1228,1231,1229,1229,1229,1240,1240,1259,1259,1267,1332,1267,1386,1446,1358,1358,1358,1358,1360,1306,1306,1274,2163,1599,1606,1616,1614,1614,1614,1607,1631,1631,1643,1632,1639,1639,1639,1639,1639,1639,1653,1661,1662,1662,1662,1666.12,1666.12,1661.51,1674.9,1681.73,1660.25,1660.25,1660.25,1674.78,1678.65,1678.65,1676.56,1702.54,1707.22,1718.25,1718.25
Romania,Romania,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/ro.svg,,,,,,,,,,,,,,,,,,,,,,,1014,1014,1014,1022,1081,1086,1086,1115,1166,1166,1176,1042,1039,980,980,987,990,922,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Russia,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/ru.svg,1070,1055,1064,1052,1052,1059,979,979,968,874,,,,,889,903,903,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Slovakia,Europe,UEFA,Europe,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,920,1012,1016,1016,1013,936,,,,,,,,,,,,,,,,,,,,,,,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Spain,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/es.svg,1606,1590,1610,1538,1538,1614,1532,1484,1514,1513,1507,1507,1507,1506,1510,1460,1460,1485,1229,1241,1228,1119,1142,1142,1142,1144,1130,1132,1132,1147,1110,1110,1122,1223,1287,1370,1370,1370,1374,1277,1277,1267,1165,1165,1141,1168,1166,1166,1166,1168,1162,1204,1204,1198,1114,1114,1184,1218,1231,1231,1231,1231,1228,1162,1162,1126,2104,1580,1597,1594,1591,1591,1591,1601,1617,1617,1631,1625,1636,1636,1636,1636,1636,1636,1642,1639,1645,1645,1645,1648.13,1648.13,1680.44,1673.68,1687.66,1704.75,1704.75,1704.75,1709.19,1716.93,1716.93,1715.22,1692.71,1682.85,1703.45,1703.45
Sweden,Sweden,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/se.svg,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933,933,,,998,998,1000,996,1002,,,,,1565,1550,1548,1560,1560,1560,1567,1558,1558,1560,1563,1579,1579,1579,1579,1579,1579,1567,1558,1558,1558,1558,1569.81,1569.81,1606.79,1606.03,1618.69,1588.26,1588.26,1588.26,1584.77,1563.44,1563.44,,,,,
Switzerland,Switzerland,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/ch.svg,1004,993,1019,967,967,1010,987,987,992,1138,1113,1113,1113,1159,1123,1161,1161,1149,1216,1218,1175,1063,1091,1091,1091,1117,1126,1135,1135,1146,997,997,1011,1044,1073,1050,1050,1050,1070,974,974,948,957,957,1020,1071,1129,1129,1129,1140,1138,1212,1212,1263,1329,1329,1210,1134,1190,1190,1190,1190,1197,1179,1179,1199,2087,1597,1598,1598,1599,1599,1599,1604,1605,1605,1604,1601,1608,1608,1608,1608,1608,1608,1600,1589,1586,1593,1593,1606.21,1606.21,1621.37,1622.73,1633.8,1642.83,1642.83,1642.83,1635.32,1621.43,1621.43,1635.92,1655.02,1664.24,1661.12,1661.12
Turkey,Turkey,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/tr.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,,,933,943,983,983,919,915,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Ukraine,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/ua.svg,,,,,,,,,,871,907,907,907,917,911,913,913,915,,,,920,,,,,,,,,,,,,,,,,,,,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Wales,Europe,UEFA,Europe,https://public.flourish.studio/uploads/1358325/2bb5a8ea-ee6f-4449-9a59-6c4f85baf39f.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,1155,1146,1195,1032,974,974,974,984,,,,1137,1137,1161,1113,1121,1121,1121,1120,1121,1119,1119,1119,922,951,1089,1072,985,985,985,985,984,,,953,1979,1536,1536,1538,1525,1525,1525,1539,,,,,,,,,,,,1550,1562,1562,1562,1570.36,1570.36,1567.29,1563.59,1566.77,1578.01,1578.01,1578.01,1588.08,1582.13,1582.13,1569.82,,,,
Algeria,Algeria,MENA,CAF,Africa,#N/A,,,,,,,,,,,,,,,,,,,,,926,989,948,948,948,981,986,,917,,941,941,955,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Egypt,MENA,CAF,Africa,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,910,910,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Iran,MENA,AFC,Asia,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518,,,,,,,,,,,,,,,,,,,,,,,,,,1564.61,,,,
Morocco,Morocco,MENA,CAF,Africa,https://public.flourish.studio/country-flags/svg/ma.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.35,1677.79,1655.5,1655.5
Tunisia,Tunisia,MENA,CAF,Africa,https://public.flourish.studio/country-flags/svg/tn.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Cote d'Ivoire,Sub-Saharan Africa,CAF,Africa,#N/A,996,999,1022,1008,1008,1022,1009,962,902,917,918,918,912,,,,,,,,,,,,,932,944,,,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Ghana,Sub-Saharan Africa,CAF,Africa,https://public.flourish.studio/country-flags/svg/gh.svg,,865,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Senegal,Sub-Saharan Africa,CAF,Africa,https://public.flourish.studio/country-flags/svg/sn.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1546,1546,1555,1555,1555,1555,1555,1555,1555,,1558,1558,1558,,,,1555.37,1564.95,1561.68,1561.68,1587.78,1584.16,1593.45,1584.59,1584.38,1603.98,1613.21,1612.61,1612.61
