Entity,Year,World population
Gapminder v7 (2022),1856,1289613085
Gapminder v7 (2022),1857,1291556308
Gapminder v7 (2022),1858,1293616943
Gapminder v7 (2022),1859,1296053087
Gapminder v7 (2022),1860,1298857947
Gapminder v7 (2022),1861,1302027962
Gapminder v7 (2022),1862,1305560612
Gapminder v7 (2022),1863,1309444051
Gapminder v7 (2022),1864,1313410603
Gapminder v7 (2022),1865,1317453657
Gapminder v7 (2022),1866,1321572626
Gapminder v7 (2022),1867,1325775239
Gapminder v7 (2022),1868,1330060419
Gapminder v7 (2022),1869,1334928493
Gapminder v7 (2022),1870,1340392476
Gapminder v7 (2022),1871,1346381414
Gapminder v7 (2022),1872,1353032986
Gapminder v7 (2022),1873,1360261504
Gapminder v7 (2022),1874,1367561973
Gapminder v7 (2022),1875,1374962430
Gapminder v7 (2022),1876,1382443050
Gapminder v7 (2022),1877,1389974777
Gapminder v7 (2022),1878,1397574403
Gapminder v7 (2022),1879,1405702618
Gapminder v7 (2022),1880,1414398247
Gapminder v7 (2022),1881,1423680327
Gapminder v7 (2022),1882,1433553127
Gapminder v7 (2022),1883,1444009167
Gapminder v7 (2022),1884,1454595037
Gapminder v7 (2022),1885,1465366825
Gapminder v7 (2022),1886,1476245076
Gapminder v7 (2022),1887,1487277339
Gapminder v7 (2022),1888,1498437207
Gapminder v7 (2022),1889,1509373834
Gapminder v7 (2022),1890,1520102560
Gapminder v7 (2022),1891,1530583785
Gapminder v7 (2022),1892,1540822549
Gapminder v7 (2022),1893,1550822689
Gapminder v7 (2022),1894,1560960959
Gapminder v7 (2022),1895,1571250732
Gapminder v7 (2022),1896,1581628826
Gapminder v7 (2022),1897,1592152786
Gapminder v7 (2022),1898,1602801870
Gapminder v7 (2022),1899,1614109121
Gapminder v7 (2022),1900,1626045018
Gapminder v7 (2022),1901,1638611317
Gapminder v7 (2022),1902,1651831877
Gapminder v7 (2022),1903,1665703540
Gapminder v7 (2022),1904,1679752718
Gapminder v7 (2022),1905,1693984163
Gapminder v7 (2022),1906,1708402794
Gapminder v7 (2022),1907,1723032738
Gapminder v7 (2022),1908,1737874788
Gapminder v7 (2022),1909,1752122665
Gapminder v7 (2022),1910,1765772675
Gapminder v7 (2022),1911,1778741632
Gapminder v7 (2022),1912,1791197929
Gapminder v7 (2022),1913,1803056235
Gapminder v7 (2022),1914,1815104863
Gapminder v7 (2022),1915,1827290389
Gapminder v7 (2022),1916,1839550487
Gapminder v7 (2022),1917,1851899055
Gapminder v7 (2022),1918,1864869126
Gapminder v7 (2022),1919,1878650358
Gapminder v7 (2022),1920,1893355554
Gapminder v7 (2022),1921,1908705039
Gapminder v7 (2022),1922,1924826120
Gapminder v7 (2022),1923,1941636900
Gapminder v7 (2022),1924,1958716901
Gapminder v7 (2022),1925,1976068839
Gapminder v7 (2022),1926,1993673848
Gapminder v7 (2022),1927,2011532749
Gapminder v7 (2022),1928,2029682397
Gapminder v7 (2022),1929,2048513689
Gapminder v7 (2022),1930,2068068125
Gapminder v7 (2022),1931,2088357765
Gapminder v7 (2022),1932,2109357892
Gapminder v7 (2022),1933,2131029147
Gapminder v7 (2022),1934,2152969392
Gapminder v7 (2022),1935,2175184808
Gapminder v7 (2022),1936,2197774032
Gapminder v7 (2022),1937,2220708589
Gapminder v7 (2022),1938,2244005191
Gapminder v7 (2022),1939,2266452407
Gapminder v7 (2022),1940,2287655416
Gapminder v7 (2022),1941,2307736768
Gapminder v7 (2022),1942,2326734579
Gapminder v7 (2022),1943,2344574740
Gapminder v7 (2022),1944,2362439908
Gapminder v7 (2022),1945,2380153769
Gapminder v7 (2022),1946,2397744766
Gapminder v7 (2022),1947,2416694412
Gapminder v7 (2022),1948,2437259361
Gapminder v7 (2022),1949,2463242071
Gapminder v7 (2022),1950,2494632099
Gapminder v7 (2022),1951,2538361448
Gapminder v7 (2022),1952,2585425163
Gapminder v7 (2022),1953,2635358801
Gapminder v7 (2022),1954,2686987428
Gapminder v7 (2022),1955,2741009916
Gapminder v7 (2022),1956,2795870500
Gapminder v7 (2022),1957,2852664677
Gapminder v7 (2022),1958,2910836112
Gapminder v7 (2022),1959,2964948637
Gapminder v7 (2022),1960,3013801650
Gapminder v7 (2022),1961,3062825912
Gapminder v7 (2022),1962,3121020362
Gapminder v7 (2022),1963,3189992740
Gapminder v7 (2022),1964,3261306547
Gapminder v7 (2022),1965,3331088793
Gapminder v7 (2022),1966,3400278855
Gapminder v7 (2022),1967,3469196810
Gapminder v7 (2022),1968,3540448636
Gapminder v7 (2022),1969,3614184709
Gapminder v7 (2022),1970,3688806078
Gapminder v7 (2022),1971,3763461284
Gapminder v7 (2022),1972,3837982946
Gapminder v7 (2022),1973,3913317067
Gapminder v7 (2022),1974,3988466467
Gapminder v7 (2022),1975,4062277098
Gapminder v7 (2022),1976,4135228013
Gapminder v7 (2022),1977,4208363021
Gapminder v7 (2022),1978,4282119168
Gapminder v7 (2022),1979,4357915296
Gapminder v7 (2022),1980,4436209326
Gapminder v7 (2022),1981,4516696785
Gapminder v7 (2022),1982,4599915570
Gapminder v7 (2022),1983,4683671336
Gapminder v7 (2022),1984,4767478201
Gapminder v7 (2022),1985,4853228236
Gapminder v7 (2022),1986,4941418194
Gapminder v7 (2022),1987,5032197782
Gapminder v7 (2022),1988,5123368495
Gapminder v7 (2022),1989,5214640339
Gapminder v7 (2022),1990,5306968740
Gapminder v7 (2022),1991,5396891737
Gapminder v7 (2022),1992,5483189481
Gapminder v7 (2022),1993,5567802167
Gapminder v7 (2022),1994,5650966426
Gapminder v7 (2022),1995,5733326000
Gapminder v7 (2022),1996,5815114461
Gapminder v7 (2022),1997,5896311814
Gapminder v7 (2022),1998,5977153558
Gapminder v7 (2022),1999,6057705358
Gapminder v7 (2022),2000,6138833512
Gapminder v7 (2022),2001,6220604848
Gapminder v7 (2022),2002,6302203452
Gapminder v7 (2022),2003,6383649757
Gapminder v7 (2022),2004,6465467413
Gapminder v7 (2022),2005,6547863217
Gapminder v7 (2022),2006,6631066639
Gapminder v7 (2022),2007,6715552690
Gapminder v7 (2022),2008,6801159002
Gapminder v7 (2022),2009,6887830490
Gapminder v7 (2022),2010,6975094400
Gapminder v7 (2022),2011,7062577963
Gapminder v7 (2022),2012,7151113715
Gapminder v7 (2022),2013,7239999366
Gapminder v7 (2022),2014,7328442094
Gapminder v7 (2022),2015,7416050829
Gapminder v7 (2022),2016,7502949007
Gapminder v7 (2022),2017,7589328231
Gapminder v7 (2022),2018,7673293875
Gapminder v7 (2022),2019,7754438369
Gapminder v7 (2022),2020,7830424255
Gapminder v7 (2022),2021,7898737625
Gapminder v7 (2022),2022,7964502192
Gapminder v7 (2022),2023,8034641536
Gapminder v7 (2022),2024,8108098603
Gapminder v7 (2022),2025,8181186242
Gapminder v7 (2022),2026,8253500712
Gapminder v7 (2022),2027,8325055864
Gapminder v7 (2022),2028,8395852725
Gapminder v7 (2022),2029,8465863895
Gapminder v7 (2022),2030,8535072756
Gapminder v7 (2022),2031,8603427587
Gapminder v7 (2022),2032,8670955803
Gapminder v7 (2022),2033,8737634847
Gapminder v7 (2022),2034,8803385769
Gapminder v7 (2022),2035,8868183842
Gapminder v7 (2022),2036,8931970445
Gapminder v7 (2022),2037,8994769017
Gapminder v7 (2022),2038,9056612120
Gapminder v7 (2022),2039,9117366399
Gapminder v7 (2022),2040,9176939605
Gapminder v7 (2022),2041,9235348060
Gapminder v7 (2022),2042,9292559194
Gapminder v7 (2022),2043,9348488405
Gapminder v7 (2022),2044,9403052123
Gapminder v7 (2022),2045,9456181086
Gapminder v7 (2022),2046,9507824270
Gapminder v7 (2022),2047,9557929302
Gapminder v7 (2022),2048,9606405943
Gapminder v7 (2022),2049,9653149726
Gapminder v7 (2022),2050,9698129224
Gapminder v7 (2022),2051,9741299950
Gapminder v7 (2022),2052,9782752116
Gapminder v7 (2022),2053,9822519700
Gapminder v7 (2022),2054,9860568758
Gapminder v7 (2022),2055,9896983673
Gapminder v7 (2022),2056,9931813659
Gapminder v7 (2022),2057,9965142922
Gapminder v7 (2022),2058,9997025870
Gapminder v7 (2022),2059,10027435275
Gapminder v7 (2022),2060,10056477140
Gapminder v7 (2022),2061,10084331109
Gapminder v7 (2022),2062,10111080580
Gapminder v7 (2022),2063,10136737167
Gapminder v7 (2022),2064,10161317196
Gapminder v7 (2022),2065,10184783933
Gapminder v7 (2022),2066,10207107952
Gapminder v7 (2022),2067,10228434824
Gapminder v7 (2022),2068,10248740417
Gapminder v7 (2022),2069,10267959020
Gapminder v7 (2022),2070,10286067965
Gapminder v7 (2022),2071,10303061166
Gapminder v7 (2022),2072,10318996824
Gapminder v7 (2022),2073,10333847093
Gapminder v7 (2022),2074,10347527712
Gapminder v7 (2022),2075,10359989145
Gapminder v7 (2022),2076,10371196103
Gapminder v7 (2022),2077,10381119199
Gapminder v7 (2022),2078,10389809157
Gapminder v7 (2022),2079,10397349334
Gapminder v7 (2022),2080,10403743355
Gapminder v7 (2022),2081,10408982235
Gapminder v7 (2022),2082,10413179087
Gapminder v7 (2022),2083,10416408796
Gapminder v7 (2022),2084,10418656744
Gapminder v7 (2022),2085,10419916189
Gapminder v7 (2022),2086,10420191978
Gapminder v7 (2022),2087,10419562682
Gapminder v7 (2022),2088,10418155609
Gapminder v7 (2022),2089,10415956603
Gapminder v7 (2022),2090,10412927538
Gapminder v7 (2022),2091,10409065104
Gapminder v7 (2022),2092,10404409601
Gapminder v7 (2022),2093,10398972975
Gapminder v7 (2022),2094,10392786299
Gapminder v7 (2022),2095,10385852485
Gapminder v7 (2022),2096,10378096555
Gapminder v7 (2022),2097,10369500808
Gapminder v7 (2022),2098,10360090552
Gapminder v7 (2022),2099,10349947680
Gapminder v7 (2022),2100,10339034273
Grigg (1987),-8000,7500000
Grigg (1987),1,256000000
Grigg (1987),600,237000000
Grigg (1987),1000,280000000
Grigg (1987),1500,428000000
Grigg (1987),1600,498000000
Grigg (1987),1700,641000000
Grigg (1987),1750,731000000
Grigg (1987),1800,890000000
Grigg (1987),1850,1171000000
Grigg (1987),1900,1668000000
Grigg (1987),1950,2486000000
Grigg (1987),1960,2982000000
Grigg (1987),1970,3632000000
Grigg (1987),1980,4414000000
HYDE 3.1 (2010),-10000,2431214
HYDE 3.1 (2010),-9000,3564407
HYDE 3.1 (2010),-8000,5136461
HYDE 3.1 (2010),-7000,7561695
HYDE 3.1 (2010),-6000,11461003
HYDE 3.1 (2010),-5000,17920172
HYDE 3.1 (2010),-4000,28370429
HYDE 3.1 (2010),-3000,44819892
HYDE 3.1 (2010),-2000,72108132
HYDE 3.1 (2010),-1000,115065665
HYDE 3.1 (2010),1,188239090
HYDE 3.1 (2010),100,195062192
HYDE 3.1 (2010),200,202309552
HYDE 3.1 (2010),300,205316554
HYDE 3.1 (2010),400,208909833
HYDE 3.1 (2010),500,210429836
HYDE 3.1 (2010),600,212642769
HYDE 3.1 (2010),700,225835011
HYDE 3.1 (2010),800,240487640
HYDE 3.1 (2010),900,268747447
HYDE 3.1 (2010),1000,295040195
HYDE 3.1 (2010),1100,352606918
HYDE 3.1 (2010),1200,393081041
HYDE 3.1 (2010),1300,392403532
HYDE 3.1 (2010),1400,389774827
HYDE 3.1 (2010),1500,461367657
HYDE 3.1 (2010),1600,553956117
HYDE 3.1 (2010),1700,603167544
HYDE 3.1 (2010),1750,811562143
HYDE 3.1 (2010),1800,989313102
HYDE 3.1 (2010),1850,1262675510
HYDE 3.1 (2010),1900,1654429527
HYDE 3.1 (2010),1910,1777175381
HYDE 3.1 (2010),1920,1912110935
HYDE 3.1 (2010),1930,2091893626
HYDE 3.1 (2010),1940,2307348107
HYDE 3.1 (2010),1950,2544876952
HYDE 3.1 (2010),1960,3042794825
HYDE 3.1 (2010),1970,3709837147
HYDE 3.1 (2010),1980,4460709975
HYDE 3.1 (2010),1990,5307597268
HYDE 3.1 (2010),2000,6144834307
HYDE 3.2 (2017),-10000,4432267
HYDE 3.2 (2017),-9000,5616996
HYDE 3.2 (2017),-8000,7242892
HYDE 3.2 (2017),-7000,9577918
HYDE 3.2 (2017),-6000,13201832
HYDE 3.2 (2017),-5000,19075772
HYDE 3.2 (2017),-4000,28774662
HYDE 3.2 (2017),-3000,44487164
HYDE 3.2 (2017),-2000,72586072
HYDE 3.2 (2017),-1000,110419520
HYDE 3.2 (2017),0,232123760
HYDE 3.2 (2017),100,236904176
HYDE 3.2 (2017),200,240611568
HYDE 3.2 (2017),300,227549856
HYDE 3.2 (2017),400,241539632
HYDE 3.2 (2017),500,253237312
HYDE 3.2 (2017),600,271478688
HYDE 3.2 (2017),700,278185344
HYDE 3.2 (2017),800,285713824
HYDE 3.2 (2017),900,310967712
HYDE 3.2 (2017),1000,323407584
HYDE 3.2 (2017),1100,397923808
HYDE 3.2 (2017),1200,444750784
HYDE 3.2 (2017),1300,456389088
HYDE 3.2 (2017),1400,442480768
HYDE 3.2 (2017),1500,503240576
HYDE 3.2 (2017),1600,515751840
HYDE 3.2 (2017),1700,591721856
HYDE 3.2 (2017),1710,613189760
HYDE 3.2 (2017),1720,642718400
HYDE 3.2 (2017),1730,664734912
HYDE 3.2 (2017),1740,695347072
HYDE 3.2 (2017),1750,745664512
HYDE 3.2 (2017),1760,779892288
HYDE 3.2 (2017),1770,818828288
HYDE 3.2 (2017),1780,891049088
HYDE 3.2 (2017),1790,931578112
HYDE 3.2 (2017),1800,943430592
HYDE 3.2 (2017),1810,1016652864
HYDE 3.2 (2017),1820,1052781632
HYDE 3.2 (2017),1830,1134768256
HYDE 3.2 (2017),1840,1194344832
HYDE 3.2 (2017),1850,1270598144
HYDE 3.2 (2017),1860,1327620352
HYDE 3.2 (2017),1870,1326915328
HYDE 3.2 (2017),1880,1405158272
HYDE 3.2 (2017),1890,1522747776
HYDE 3.2 (2017),1900,1642017664
HYDE 3.2 (2017),1910,1764988544
HYDE 3.2 (2017),1920,1895505408
HYDE 3.2 (2017),1930,2073174656
HYDE 3.2 (2017),1940,2289207040
HYDE 3.2 (2017),1950,2529757696
HYDE 3.2 (2017),1960,3022793216
HYDE 3.2 (2017),1970,3694076928
HYDE 3.2 (2017),1980,4447102976
HYDE 3.2 (2017),1990,5297773568
HYDE 3.2 (2017),2000,6110371328
HYDE 3.2 (2017),2001,6187574784
HYDE 3.2 (2017),2002,6264775680
HYDE 3.2 (2017),2003,6341977600
HYDE 3.2 (2017),2004,6419187200
HYDE 3.2 (2017),2005,6496388608
HYDE 3.2 (2017),2006,6573582848
HYDE 3.2 (2017),2007,6650787328
HYDE 3.2 (2017),2008,6727991808
HYDE 3.2 (2017),2009,6805194240
HYDE 3.2 (2017),2010,6882389504
HYDE 3.2 (2017),2011,6957291008
HYDE 3.2 (2017),2012,7032187904
HYDE 3.2 (2017),2013,7107083264
HYDE 3.2 (2017),2014,7181982720
HYDE 3.2 (2017),2015,7256885248
HYDE 3.2 (2017),2016,7331773952
HYDE 3.2 (2017),2017,7406670336
Haub (1995),-8000,5000000
Haub (1995),1,300000000
Haub (1995),1200,450000000
Haub (1995),1700,500000000
Haub (1995),1750,795000000
Haub (1995),1850,1265000000
Haub (1995),1900,1656000000
Kapitsa (1997),1750,728000000
Kapitsa (1997),1800,907000000
Kapitsa (1997),1850,1170000000
Kremer (1993),-10000,4000000
Kremer (1993),-8000,4500000
Kremer (1993),-5000,5000000
Kremer (1993),-4000,7000000
Kremer (1993),-3000,14000000
Kremer (1993),-2000,27000000
Kremer (1993),-1000,50000000
Kremer (1993),1000,256000000
Kremer (1993),1100,320000000
Kremer (1993),1200,360000000
Kremer (1993),1300,360000000
Kremer (1993),1400,350000000
Kremer (1993),1500,425000000
Kremer (1993),1600,545000000
Kremer (1993),1700,610000000
Kremer (1993),1750,720000000
Kremer (1993),1800,900000000
Kremer (1993),1850,1200000000
Kremer (1993),1900,1625000000
Kremer (1993),1920,1813000000
Livi-Bacci (1997),-10000,6000000
Livi-Bacci (1997),-9000,4771754
Livi-Bacci (1997),-8000,6876299
Livi-Bacci (1997),-7000,10123016
Livi-Bacci (1997),-6000,15343108
Livi-Bacci (1997),-5000,23990146
Livi-Bacci (1997),-4000,37980146
Livi-Bacci (1997),-3000,60001421
Livi-Bacci (1997),-2000,96532815
Livi-Bacci (1997),-1000,154041053
Livi-Bacci (1997),1,252000000
Livi-Bacci (1997),200,257000000
Livi-Bacci (1997),600,208000000
Livi-Bacci (1997),1000,253000000
Livi-Bacci (1997),1200,400000000
Livi-Bacci (1997),1400,375000000
Livi-Bacci (1997),1500,461000000
Livi-Bacci (1997),1600,578000000
Livi-Bacci (1997),1700,680000000
Livi-Bacci (1997),1750,771000000
Livi-Bacci (1997),1800,954000000
Livi-Bacci (1997),1850,1241000000
Livi-Bacci (1997),1900,1634000000
Livi-Bacci (1997),1950,2521000000
Livi-Bacci (1997),2000,6055000000
Lucas (2003),1750,728000000
Lucas (2003),1850,1171000000
Lucas (2003),1950,2519000000
Lucas (2003),1970,3691000000
Lucas (2003),1980,4430000000
Lucas (2003),1990,5255000000
Lucas (2003),2000,6057000000
Maddison (1991),1700,603000000
Maddison (2001),1,230820000
Maddison (2001),1000,268273000
Maddison (2001),1500,437818000
Maddison (2001),1700,603410000
Matras (1973),1750,694000000
Matras (1973),1900,1571000000
McEvedy and Jones (1978),-10000,4000000
McEvedy and Jones (1978),-5000,5000000
McEvedy and Jones (1978),-4000,7000000
McEvedy and Jones (1978),-3000,14000000
McEvedy and Jones (1978),-2000,27000000
McEvedy and Jones (1978),-1000,50000000
McEvedy and Jones (1978),1,170000000
McEvedy and Jones (1978),100,180000000
McEvedy and Jones (1978),200,190000000
McEvedy and Jones (1978),300,190000000
McEvedy and Jones (1978),400,190000000
McEvedy and Jones (1978),500,190000000
McEvedy and Jones (1978),600,200000000
McEvedy and Jones (1978),700,210000000
McEvedy and Jones (1978),800,220000000
McEvedy and Jones (1978),900,240000000
McEvedy and Jones (1978),1000,265000000
McEvedy and Jones (1978),1100,320000000
McEvedy and Jones (1978),1200,360000000
McEvedy and Jones (1978),1300,360000000
McEvedy and Jones (1978),1400,350000000
McEvedy and Jones (1978),1500,425000000
McEvedy and Jones (1978),1600,545000000
McEvedy and Jones (1978),1700,610000000
McEvedy and Jones (1978),1750,720000000
McEvedy and Jones (1978),1800,900000000
McEvedy and Jones (1978),1850,1200000000
McEvedy and Jones (1978),1900,1625000000
McEvedy and Jones (1978),1950,2500000000
Merrick et al. (1986),1750,760000000
Merrick et al. (1986),1800,1000000000
Merrick et al. (1986),1900,1630000000
Merrick et al. (1986),1950,2516000000
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-10000,4432266
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-9000,5616996
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-8000,7242892
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-7000,9577918
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-6000,13201832
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-5000,19075771
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-4000,28774661
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-3000,44487162
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-2000,72586076
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",-1000,110419521
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",0,232123764
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",100,236904172
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",200,240611571
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",300,227549847
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",400,241539639
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",500,253237316
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",600,271478693
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",700,278185334
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",800,285713840
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",900,310967715
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1000,323407571
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1100,397923813
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1200,444750779
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1300,456389076
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1400,442480757
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1500,503240579
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1600,516611143
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1700,592706493
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1710,613189754
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1720,642718425
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1730,664743714
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1740,695347041
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1750,745664504
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1760,779892249
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1770,818828314
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1780,891049119
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1790,931578147
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1800,985344828
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1801,987628322
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1802,991098738
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1803,994610260
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1804,998163240
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1805,1001758044
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1806,1005395067
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1807,1009074742
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1808,1012797513
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1809,1016563866
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1810,1022630209
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1811,1027487469
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1812,1033636618
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1813,1040443689
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1814,1047427292
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1815,1054586106
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1816,1061924513
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1817,1069447070
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1818,1077158552
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1819,1084757875
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1820,1093425440
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1821,1099331577
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1822,1106263783
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1823,1113514792
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1824,1120876169
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1825,1128342960
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1826,1135961188
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1827,1143684846
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1828,1151515422
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1829,1158898384
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1830,1166619866
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1831,1172266726
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1832,1178216298
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1833,1183684120
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1834,1189202983
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1835,1194812021
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1836,1200422586
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1837,1206132721
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1838,1211908617
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1839,1217625799
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1840,1224118700
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1841,1228828189
"OWID based on HYDE 3.2, Gapminder v7 and UN 2022",1842,1234333753
